Cluster ID,Link Score,source file,id,publisher,title,author,year,ENTRYTYPE,journal,number,volume,pages,booktitle
,,1,2450,0,Mining long sequential patterns in a noisy environment,"Yang, Jiong and Wang, Wei and Yu, Philip S and Han, Jiawei",2002,inproceedings,0,0,,406--417,Proceedings of the 2002 ACM SIGMOD international conference on Management of data
,,1,899,0,Efficient privacy preserving reputation protocols inspired by secure sum,"Hasan, Omar and Bertino, Elisa and Brunie, Lionel",2010,inproceedings,0,0,,126--133,"Privacy Security and Trust (PST), 2010 Eighth Annual International Conference on"
3,0.99972147,1,1916,ACM,Revisiting answering tree pattern queries using views,"Wang, Junhu and Xu Yu, Jeffrey",2012,article,ACM Transactions on Database Systems (TODS),3,37.0,18,0
,,1,1067,0,Introducing cooperation and actions in amalgamated knowledge bases,"Bertino, Elisa and Catania, Barbara and Perlasca, Paolo",2001,inproceedings,0,0,,108--115,"Database Systems for Advanced Applications, 2001. Proceedings. Seventh International Conference on"
,,1,1323,The Royal Society,Learning to represent visual input,"Hinton, Geoffrey E",2010,article,Philosophical Transactions of the Royal Society B: Biological Sciences,1537,365.0,177--184,0
,,1,2441,0,Substructure similarity search in graph databases,"Yan, Xifeng and Yu, Philip S and Han, Jiawei",2005,inproceedings,0,0,,766--777,Proceedings of the 2005 ACM SIGMOD international conference on Management of data
,,1,373,0,Inducing value sparsity for parallel inference in tree-shaped models,"Singh, Sameer and Martin, Brian and McCallum, Andrew",2011,article,0,0,,0,0
15,0.99913085,1,1730,0,Discriminative category matching: Efficient text classification for huge document collections,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Lu, Hongjun",2002,inproceedings,0,0,,187--194,"Data Mining, 2002. ICDM 2003. Proceedings. 2002 IEEE International Conference on"
,,1,2453,0,A framework for clustering evolving data streams,"Aggarwal, Charu C and Han, Jiawei and Wang, Jianyong and Yu, Philip S",2003,inproceedings,0,0,,81--92,Proceedings of the 29th international conference on Very large data bases-Volume 29
,,1,920,0,A framework for verification and optimal reconfiguration of event-driven role based access control policies,"Shafiq, Basit and Vaidya, Jaideep S and Ghafoor, Arif and Bertino, Elisa",2012,inproceedings,0,0,,197--208,Proceedings of the 17th ACM symposium on Access Control Models and Technologies
,,1,362,0,Towards asynchronous distributed MCMC inference for large graphical models,"Singh, Sameer and McCallum, Andrew",2011,article,0,0,,0,0
1,0.999818,1,1791,SP Higher Education Press,Stock prediction: an event-driven approach based on bursty keywords,"Wu, Di and Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Pan, Qi",2009,article,Frontiers of Computer Science in China,2,3.0,145--157,0
,,1,2196,Soc Neuroscience,The role of inertial sensitivity in motor planning,"Sabes, Philip N and Jordan, Michael I and Wolpert, Daniel M",1998,article,The Journal of neuroscience,15,18.0,5948--5957,0
,,1,388,ACM,Privacy-aware role-based access control,"Ni, Qun and Bertino, Elisa and Lobo, Jorge and Brodie, Carolyn and Karat, Clare-Marie and Karat, John and Trombeta, Alberto",2010,article,ACM Transactions on Information and System Security (TISSEC),3,13.0,24,0
,,1,2085,The MIT Press,Hierarchical topic models and the nested Chinese restaurant process,"Griffiths, DMBTL and Tenenbaum, MIJJB",2004,article,Advances in neural information processing systems,0,16.0,17,0
,,1,2180,Kluwer Academic Publishers,Factorial hidden Markov models,"Ghahramani, Zoubin and Jordan, Michael I",1997,article,Machine learning,3-Feb,29.0,245--273,0
,,1,171,ACM,Rapid development of Hindi named entity recognition using conditional random fields and feature induction,"Li, Wei and McCallum, Andrew",2003,article,ACM Transactions on Asian Language Information Processing (TALIP),3,2.0,290--294,0
2,0.99979544,1,2233,Oxford Univ Press,A latent variable model for chemogenomic profiling,"Flaherty, Patrick and Giaever, Guri and Kumm, Jochen and Jordan, Michael I and Arkin, Adam P",2005,article,Bioinformatics,15,21.0,3286--3293,0
,,1,1899,0,Screening of polysialic acid yield of E. coli by NTG mutagenesis,"Zhan, Xiaobei and Yu, Junhua and Wu, Jianrong and Zhu, Li and Qiu, Yinghai and Wang, Lei",2001,article,Journal of Wuxi University of Light Industry,5,21.0,456--459,0
,,1,1831,Springer Berlin Heidelberg,Mining closed frequent free trees in graph databases,"Zhao, Peixiang and Yu, Jeffrey Xu",2007,incollection,0,0,,91--102,"Advances in Databases: Concepts, Systems and Applications"
28,0.00029406708,1,1797,IEEE,Computing structural statistics by keywords in databases,"Qin, Lu and Yu, Jeffrey Xu and Chang, Lijun",2012,article,"Knowledge and Data Engineering, IEEE Transactions on",10,24.0,1731--1746,0
,,1,2204,0,Support vector machines for analog circuit performance representation,"De Bernardinis, Fernando and Jordan, Michael I and SangiovanniVincentelli, A",2003,inproceedings,0,0,,964--969,"Design Automation Conference, 2003. Proceedings"
,,1,2820,Springer-Verlag,Early classification on time series,"Xing, Zhengzheng and Pei, Jian and Philip, S Yu",2012,article,Knowledge and information systems,1,31.0,105--127,0
18,0.9982608,1,2275,0,Solving consensus and semi-supervised clustering problems using nonnegative matrix factorization,"Li, Tao and Ding, Chris and Jordan, Michael and others",2007,inproceedings,0,0,,577--582,"Data Mining, 2007. ICDM 2007. Seventh IEEE International Conference on"
20,0.98460495,1,1937,Springer Berlin Heidelberg,Is frequency enough for decision makers to make decisions?,"Zhang, Shichao and Yu, Jeffrey Xu and Lu, Jingli and Zhang, Chengqi",2006,incollection,0,0,,499--503,Advances in Knowledge Discovery and Data Mining
,,1,952,0,Marlin: Making it harder to fish for gadgets,"Gupta, Aditi and Kerr, Sam and Kirkpatrick, Michael S and Bertino, Elisa",2012,inproceedings,0,0,,1016--1018,Proceedings of the 2012 ACM conference on Computer and communications security
25,0.1876607,1,1639,IEEE,Constructing suffix tree for gigabyte sequences with megabyte memory,"Cheung, Ching-Fung and Yu, Jeffrey Xu and Lu, Hongjun",2005,article,"Knowledge and Data Engineering, IEEE Transactions on",1,17.0,90--105,0
,,1,2449,0,An effective hash-based algorithm for mining association rules,"Park, Jong Soo and Chen, Ming-Syan and Yu, Philip S",1995,inproceedings,0,2,24.0,175--186,ACM SIGMOD Record
,,1,2330,0,Online system problem detection by mining patterns of console logs,"Xu, Wei and Huang, Ling and Fox, Armando and Patterson, David and Jordan, Michael",2009,inproceedings,0,0,,588--597,"Data Mining, 2009. ICDM'09. Ninth IEEE International Conference on"
,,1,1673,0,PBiTree coding and efficient processing of containment joins,"Wang, Wei and Jiang, Haigeng and Lu, Hongjun and Yu, Jeffrey Xu",2003,inproceedings,0,0,,391--402,"Data Engineering, 2003. Proceedings. 19th International Conference on"
22,0.8631198,1,2258,0,Learning to control an unstable system with forward modeling,"Jordan, Michael I and Jacobs, Robert A",1990,inproceedings,0,0,,324--331,Advances in neural information processing systems
9,0.99951136,1,1699,0,Finding maximal k-edge-connected subgraphs from a large graph,"Zhou, Rui and Liu, Chengfei and Yu, Jeffrey Xu and Liang, Weifa and Chen, Baichen and Li, Jianxin",2012,inproceedings,0,0,,480--491,Proceedings of the 15th International Conference on Extending Database Technology
,,1,1641,ACM,Finding maximal cliques in massive networks,"Cheng, James and Ke, Yiping and Fu, Ada Wai-Chee and Yu, Jeffrey Xu and Zhu, Linhong",2011,article,ACM Transactions on Database Systems (TODS),4,36.0,21,0
,,1,1769,0,Topic distributions over links on web,"Tang, Jie and Zhang, Jing and Yu, Jeffrey Xu and Yang, Zi and Cai, Keke and Ma, Rui and Zhang, Li and Su, Zhong",2009,inproceedings,0,0,,1010--1015,"Data Mining, 2009. ICDM'09. Ninth IEEE International Conference on"
,,1,747,VLDB Endowment,Tagging stream data for rich real-time services,"Nehme, Rimma V and Rundensteiner, Elke A and Bertino, Elisa",2009,article,Proceedings of the VLDB Endowment,1,2.0,73--84,0
,,1,2634,IEEE,On coupling multi-systems through data sharing,"Yu, Philip S and Dias, Daniel M and Robinson, John T and Iyer, Balakrishna R and Cornell, Douglas W",1987,article,Proceedings of the IEEE,5,75.0,573--587,0
,,1,86,0,"Crowds, clouds, and algorithms: exploring the human side of big data applications","Amer-Yahia, Sihem and Doan, AnHai and Kleinberg, Jon and Koudas, Nick and Franklin, Michael",2010,inproceedings,0,0,,1259--1260,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data
,,1,799,Springer Berlin/Heidelberg,Repository management in an intelligent indexing approach for multimedia digital libraries,"Armani, B and Catania, B and Bertino, E and Laradi, D and Marin, B and Zarri, Gian Piero",2010,article,Foundations of Intelligent Systems,0,,431--440,0
,,1,703,0,Location-based access control systems for mobile users: concepts and research directions,"Bertino, Elisa and Kirkpatrick, Michael S",2011,inproceedings,0,0,,49--52,Proceedings of the 4th ACM SIGSPATIAL International Workshop on Security and Privacy in GIS and LBS
,,1,2096,0,On convergence properties of the EM algorithm for Gaussian mixtures,"Xu, Lei and Jordan, Michael I",1996,article,Neural computation,1,8.0,129--151,0
,,1,2700,IEEE,Mining associations with the collective strength approach,"Aggarwal, Charu C and Yu, Philip S",2001,article,"Knowledge and Data Engineering, IEEE Transactions on",6,13.0,863--873,0
7,0.9995753,1,2317,0,On the consistency of ranking algorithms,"Duchi, John C and Mackey, Lester W and Jordan, Michael I",2010,inproceedings,0,0,,327--334,Proceedings of the 27th International Conference on Machine Learning (ICML-10)
6,0.99959105,1,1648,0,Neighborhood-privacy protected shortest distance computing in cloud,"Gao, Jun and Yu, Jeffrey Xu and Jin, Ruoming and Zhou, Jiashuai and Wang, Tengjiao and Yang, Dongqing",2011,inproceedings,0,0,,409--420,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data
26,0.0014281591,1,2184,JMLR. org,Beyond independent components: trees and clusters,"Bach, Francis R and Jordan, Michael I",2003,article,The Journal of Machine Learning Research,0,4.0,1205--1233,0
,,1,1238,0,Learning sparse topographic representations with products of student-t distributions,"Welling, Max and Osindero, Simon and Hinton, Geoffrey E",2002,inproceedings,0,0,,1359--1366,Advances in neural information processing systems
,,1,2518,0,Method and apparatus for load balancing of web cluster farms,"Wolf, Joel L and Yu, Philip Shi-lung",2002,misc,0,0,,0,0
,,1,2767,IEEE,New algorithms for parallelizing relational database joins in the presence of data skew,"Wolf, Joel L and Dias, Daniel M and Yu, Philip S and Turek, John",1994,article,"Knowledge and Data Engineering, IEEE Transactions on",6,6.0,990--997,0
,,1,2262,0,Learning graphical models with Mercer kernels,"Bach, Francis R and Jordan, Michael I",2002,inproceedings,0,0,,1009--1016,Advances in Neural Information Processing Systems
,,1,1855,IEEE,Holistic top-k simple shortest path join in graphs,"Gao, Jun and Yu, Jeffrey Xu and Qiu, Huida and Jiang, Xiao and Wang, Tengjiao and Yang, Dongqing",2012,article,"Knowledge and Data Engineering, IEEE Transactions on",4,24.0,665--677,0
24,0.2735963,1,1951,0,Answering label-constraint reachability in large graphs,"Zou, Lei and Xu, Kun and Yu, Jeffrey Xu and Chen, Lei and Xiao, Yanghua and Zhao, Dongyan",2011,techreport,0,0,,0,0
,,1,229,0,Distantly labeling data for large scale cross-document coreference,"Singh, Sameer and Wick, Michael and McCallum, Andrew",2010,article,arXiv preprint arXiv:1005.4298,0,,0,0
27,0.00088234077,1,2297,0,Modeling events with cascades of Poisson processes,"Simma, Aleksandr and Jordan, Michael I",2012,article,arXiv preprint arXiv:1203.3516,0,,0,0
,,1,2864,0,A general framework for accurate and fast regression by data summarization in random decision trees,"Fan, Wei and McCloskey, Joe and Yu, Philip S",2006,inproceedings,0,0,,136--146,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining
0,0.999818,1,2006,Springer US,Multimedia Data Buffering,"Yu, Jeffrey Xu",2009,incollection,0,0,,1800--1804,Encyclopedia of Database Systems
,,1,1368,0,Discovering multiple constraints that are frequently approximately satisfied,"Hinton, Geoffrey E and Teh, Yee-Whye",2001,inproceedings,0,0,,227--234,Proceedings of the Seventeenth conference on Uncertainty in artificial intelligence
,,1,2077,0,Contract \& Expand: I/O Efficient SCCs Computing,"Zhang, Zhiwei and Qin, Lu and Yu, Jeffrey Xu",2014,inproceedings,0,0,,208--219,"Data Engineering (ICDE), 2014 IEEE 30th International Conference on"
,,1,1812,0,AFOPT: an efficient implementation of pattern growth approach,"Gui-mei, Liu and Hong-jun, Lu and Yu, JX and others",0,misc,2003-12-19]. http://ftp. informatik. rwth-aachen. de/Publications/CEURWS,0,90.0,0,0
,,1,2848,0,On wavelet decomposition of uncertain time series data sets,"Zhao, Yuchen and Aggarwal, Charu and Yu, Philip",2010,inproceedings,0,0,,129--138,Proceedings of the 19th ACM international conference on Information and knowledge management
,,1,2038,LWW,PP. 26.24: THE EFFICIENCY AND SAFETY OF RENAL SYMPATHETIC DENERVATION FOR RESISTANT HYPERTENSION: A META ANALYSIS.,"Liang, W and Yu, J",2015,article,Journal of Hypertension,0,33.0,e364,0
,,1,2161,0,Predicting multiple metrics for queries: Better decisions enabled by machine learning,"Ganapathi, Archana and Kuno, Harumi and Dayal, Umeshwar and Wiener, Janet L and Fox, Armando and Jordan, Michael and Patterson, David",2009,inproceedings,0,0,,592--603,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on"
,,1,3054,0,Reducing file system tail latencies with Chopper,"He, Jun and Nguyen, Duy and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",2015,inproceedings,0,0,,119--133,Proceedings of the 13th USENIX Conference on File and Storage Technologies
13,0.9992886,1,2376,0,A unified probabilistic model for global and local unsupervised feature selection,"Guan, Yue and Jordan, Michael I and Dy, Jennifer G",2011,inproceedings,0,0,,1073--1080,Proceedings of the 28th International Conference on Machine Learning (ICML-11)
,,1,340,0,Rethinking lda: why priors matter,"Mccallum, Andrew and Mimno, David M and Wallach, Hanna M",2009,inproceedings,0,0,,1973--1981,Advances in neural information processing systems
19,0.9866808,1,1882,Springer Berlin Heidelberg,On tree pattern query rewriting using views,"Wang, Junhu and Yu, Jeffrey Xu and Liu, Chengfei",2007,incollection,0,0,,1--12,Web Information Systems Engineering--WISE 2007
14,0.99925077,1,1705,0,Finding the influence set through skylines,"Wu, Xiaobing and Tao, Yufei and Wong, Raymong Chi-Wing and Ding, Ling and Yu, Jeffrey Xu",2009,inproceedings,0,0,,1030--1041,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology
10,0.99937844,1,2153,0,Nonparametric latent feature models for link prediction,"Miller, Kurt and Jordan, Michael I and Griffiths, Thomas L",2009,inproceedings,0,0,,1276--1284,Advances in neural information processing systems
16,0.99858063,1,2217,0,"Nonnegative matrix factorization for combinatorial optimization: Spectral clustering, graph matching, and clique finding","Ding, Chris and Li, Tao and Jordan, Michael and others",2008,inproceedings,0,0,,183--192,"Data Mining, 2008. ICDM'08. Eighth IEEE International Conference on"
,,1,3106,0,Architectural Analysis of the Moqi Inca Site,"Vaughan, Shawn and Shatdal, Ambuj and Thain, Douglas and Bent, John and Arpaci-Dusseau, Andrea and Arpaci-Dusseau, Remzi and Livny, Miron and Hurst, Felicia and Stoller, Paul D and Carey, Michael J and others",2013,phdthesis,0,0,,0,0
,,1,2080,Nature Publishing Group,"PSP94, an upstream signaling mediator of prostasin found highly elevated in ovarian cancer","Ma, Jx and Yan, Bx and Zhang, J and Jiang, BH and Guo, Y and Riedel, H and Mueller, MD and Remick, SC and Yu, JJ",2014,article,Cell death \& disease,9,5.0,e1407,0
21,0.9802388,1,1811,Springer Berlin Heidelberg,False-negative frequent items mining from data streams with bursting,"Chong, Zhihong and Yu, Jeffrey Xu and Lu, Hongjun and Zhang, Zhengjie and Zhou, Aoying",2005,incollection,0,0,,422--434,Database Systems for Advanced Applications
23,0.5924269,1,2125,ACM,Managing data transfers in computer clusters with orchestra,"Chowdhury, Mosharaf and Zaharia, Matei and Ma, Justin and Jordan, Michael I and Stoica, Ion",2011,article,ACM SIGCOMM Computer Communication Review,4,41.0,98--109,0
,,1,1465,"Pitman, London",Pattern matching and variable binding in a stochastic neural network,"Touretzky, David S and Hinton, Geoffrey E",1987,incollection,0,0,,155--169,Genetic Algorithms and  Simulated Annealing
,,1,2016,Elsevier,Association of long-acting reversible contraceptive use and public health measures in Kenya and Ethiopia,"Yu, J and Hu, X",2013,article,Contraception,3,88.0,448,0
,,1,2232,0,Semiparametric latent factor models,"Seeger, Matthias and Teh, Yee-Whye and Jordan, Michael",2005,techreport,0,0,,0,0
5,0.99963576,1,2246,0,Revisiting k-means: New algorithms via Bayesian nonparametrics,"Kulis, Brian and Jordan, Michael I",2011,article,arXiv preprint arXiv:1111.0352,0,,0,0
,,1,1749,IEEE,Efficient core maintenance in large dynamic graphs,"Li, Rong-Hua and Yu, Jeffrey Xu and Mao, Rui",2014,article,"Knowledge and Data Engineering, IEEE Transactions on",10,26.0,2453--2465,0
11,0.99936056,1,1877,0,Response time constrained top-k query evaluation in sensor networks,"Liang, Weifa and Chen, Baichen and Yu, Jeffrey Xu",2008,inproceedings,0,0,,575--582,"Parallel and Distributed Systems, 2008. ICPADS'08. 14th IEEE International Conference on"
8,0.99951136,1,1734,0,Finding top-k similar graphs in graph databases,"Zhu, Yuanyuan and Qin, Lu and Yu, Jeffrey Xu and Cheng, Hong",2012,inproceedings,0,0,,456--467,Proceedings of the 15th International Conference on Extending Database Technology
,,1,848,Springer Berlin Heidelberg,Tiupam: A framework for trustworthiness-centric information sharing,"Xu, Shouhuai and Sandhu, Ravi and Bertino, Elisa",2009,incollection,0,0,,164--175,Trust Management III
,,1,2871,IBM Thomas J. Watson Research Division,On modeling database concurrency control,"Yu, PS and Dias, DM and Lavenberg, SS",1990,book,0,0,,0,0
,,1,2127,0,Hierarchies of adaptive experts,"Jordan, Michael I and Jacobs, Robert A",1992,inproceedings,0,0,,985--992,Advances in neural information processing systems
,,1,9,0,Combining keyword search and forms for ad hoc querying of databases,"Chu, Eric and Baid, Akanksha and Chai, Xiaoyong and Doan, AnHai and Naughton, Jeffrey",2009,inproceedings,0,0,,349--360,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data
,,1,1451,0,"Delve data for evaluating learning in valid experiments, 1995--1996","Rasmussen, CE and Neal, RM and Hinton, G and van Camp, D and Revow, M and Ghahramani, Z and Kustra, R and Tibshirani, R",0,article,URL http://www. cs. toronto. edu/~ delve,0,,0,0
,,1,2754,0,Efficiently mining frequent closed partial orders,"Pei, Jian and Liu, Jian and Wang, Haixun and Wang, Ke and Philip, S Yu and Wang, Jianyong",2005,inproceedings,0,0,,753--756,
,,1,763,0,Secure third party distribution of XML data,"Carminati, Barbara and Ferrari, Elena and Bertino, Elisa",2005,inproceedings,0,0,,547--548,"Data Engineering, 2005. ICDE 2005. Proceedings. 21st International Conference on"
,,1,1749,IEEE,Efficient core maintenance in large dynamic graphs,"Li, Rong-Hua and Yu, Jeffrey Xu and Mao, Rui",2014,article,"Knowledge and Data Engineering, IEEE Transactions on",10,26.0,2453--2465,0
,,1,3095,0,Split-level I/O scheduling,"Yang, Suli and Harter, Tyler and Agrawal, Nishant and Kowsalya, Salini Selvaraj and Krishnamurthy, Anand and Al-Kiswany, Samer and Kaushik, Rini T and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",2015,inproceedings,0,0,,474--489,Proceedings of the 25th Symposium on Operating Systems Principles
4,0.99968934,1,1602,VLDB Endowment,Diversifying top-k results,"Qin, Lu and Yu, Jeffrey Xu and Chang, Lijun",2012,article,Proceedings of the VLDB Endowment,11,5.0,1124--1135,0
,,1,83,VLDB Endowment,On the provenance of non-answers to queries over extracted data,"Huang, Jiansheng and Chen, Ting and Doan, AnHai and Naughton, Jeffrey F",2008,article,Proceedings of the VLDB Endowment,1,1.0,736--747,0
,,1,955,0,High-performance TTL bipolar integrated circuits in 4H-SiC,"Singh, Shakti",2010,phdthesis,0,0,,0,0
17,0.998449,1,2204,0,Support vector machines for analog circuit performance representation,"De Bernardinis, Fernando and Jordan, Michael I and SangiovanniVincentelli, A",2003,inproceedings,0,0,,964--969,"Design Automation Conference, 2003. Proceedings"
,,1,347,0,Compositional Vector Space Models for Knowledge Base Completion,"Neelakantan, Arvind and Roth, Benjamin and McCallum, Andrew",2015,article,arXiv preprint arXiv:1504.06662,0,,0,0
,,1,3024,0,Getting real: lessons in transitioning research simulations into hardware systems.,"Saxena, Mohit and Zhang, Yiying and Swift, Michael M and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",2013,inproceedings,0,0,,215--228,FAST
