id,publisher,title,author,year,ENTRYTYPE,journal,number,volume,pages,booktitle
2088,0,Bayesian Generalized Kernel Models,Zhihua Zhang and Guang Dai and Donghui Wang and Michael I. Jordan,2010,inproceedings,0,0,0,972--979,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, {AISTATS} 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
2295,0,Variational Bayesian Inference with Stochastic Search,John William Paisley and David M. Blei and Michael I. Jordan,2012,inproceedings,0,0,0,0,"Proceedings of the 29th International Conference on Machine Learning, {ICML} 2012, Edinburgh, Scotland, UK, June 26 - July 1, 2012"
687,0,Answering label-constraint reachability in large graphs,Kun Xu and Lei Zou and Jeffrey Xu Yu and Lei Chen and Yanghua Xiao and Dongyan Zhao,2011,inproceedings,0,0,0,1595--1600,"Proceedings of the 20th {ACM} Conference on Information and Knowledge Management, {CIKM} 2011, Glasgow, United Kingdom, October 24-28, 2011"
473,0,Latent Class Model,0,2010,incollection,0,0,0,571,Encyclopedia of Machine Learning
2249,0,Modeling Events with Cascades of Poisson Processes,Aleksandr Simma and Michael I. Jordan,2010,inproceedings,0,0,0,546--555,"{UAI} 2010, Proceedings of the Twenty-Sixth Conference on Uncertainty in Artificial Intelligence, Catalina Island, CA, USA, July 8-11, 2010"
285,0,Dynamically maintaining frequent items over a data stream,Cheqing Jin and Weining Qian and Chaofeng Sha and Jeffrey Xu Yu and Aoying Zhou,2003,inproceedings,0,0,0,287--294,"Proceedings of the 2003 {ACM} {CIKM} International Conference on Information and Knowledge Management, New Orleans, Louisiana, USA, November 2-8, 2003"
229,0,Multimedia Data Buffering,Jeffrey Xu Yu,2009,incollection,0,0,0,1800--1804,Encyclopedia of Database Systems
1378,0,An Improved Security Requirement for Data Perturbation with Implications for E-Commerce,Krishnamurty Muralidhar and Rathindra Sarathy and Rahul Parsa,2001,article,Decision Sciences,4,32,683--698,0
121,0,Evaluating Irredundant Maximal Contained Rewritings for XPath Queries on Views,Rui Zhou and Chengfei Liu and Jianxin Li and Junhu Wang and Jeffrey Xu Yu,2014,article,Comput. J.,11,57,1674--1692,0
176,0,Finding Top-k Min-Cost Connected Trees in Databases,Bolin Ding and Jeffrey Xu Yu and Shan Wang and Lu Qin and Xiao Zhang and Xuemin Lin,2007,inproceedings,0,0,0,836--845,"Proceedings of the 23rd International Conference on Data Engineering, {ICDE} 2007, The Marmara Hotel, Istanbul, Turkey, April 15-20, 2007"
2857,0,Cascade Classifiers for Hierarchical Decision Systems,Zbigniew W. Ras and Agnieszka Dardzinska and Wenxin Jiang,2010,incollection,0,0,0,247--256,Advances in Machine Learning {I:} Dedicated to the Memory of Professor Ryszard S. Michalski
2254,0,Local Privacy and Statistical Minimax Rates,John C. Duchi and Michael I. Jordan and Martin J. Wainwright,2013,inproceedings,0,0,0,429--438,"54th Annual {IEEE} Symposium on Foundations of Computer Science, {FOCS} 2013, 26-29 October, 2013, Berkeley, CA, {USA}"
2030,0,Loopy Belief Propagation for Approximate Inference: An Empirical Study,Kevin P. Murphy and Yair Weiss and Michael I. Jordan,1999,inproceedings,0,0,0,467--475,"{UAI} '99: Proceedings of the Fifteenth Conference on Uncertainty in Artificial Intelligence, Stockholm, Sweden, July 30 - August 1, 1999"
968,0,A relational data model to represent meaning in natural language sentences (abstract only),C. B. Balogh and M. E. Balogh,1987,inproceedings,0,0,0,368,"Proceedings of the 15th {ACM} Annual Conference on Computer Science, St. Louis, Missouri, USA, February 16-19, 1987"
2129,0,A Unified Probabilistic Model for Global and Local Unsupervised Feature Selection,Yue Guan and Jennifer G. Dy and Michael I. Jordan,2011,inproceedings,0,0,0,1073--1080,"Proceedings of the 28th International Conference on Machine Learning, {ICML} 2011, Bellevue, Washington, USA, June 28 - July 2, 2011"
2468,0,A methodology to identify consensus classes from clustering algorithms applied to immunohistochemical data from breast cancer patients,Daniele Soria and Jonathan M. Garibaldi and Federico Ambrogi and Andrew R. Green and Des Powe and Emad Rakha and R. Douglas Macmillan and Roger W. Blamey and Graham R. Ball and Paulo J. G. Lisboa and Terence A. Etchells and Patrizia Boracchi and Elia Biganzoli and Ian O. Ellis,2010,article,Comp. in Bio. and Med.,3,40,318--330,0
142,0,On Tree Pattern Query Rewriting Using Views,Junhu Wang and Jeffrey Xu Yu and Chengfei Liu,2007,inproceedings,0,0,0,1--12,"Web Information Systems Engineering - {WISE} 2007, 8th International Conference on Web Information Systems Engineering, Nancy, France, December 3-7, 2007, Proceedings"
256,0,Finding the influence set through skylines,Xiaobing Wu and Yufei Tao and Raymond Chi{-}Wing Wong and Ling Ding and Jeffrey Xu Yu,2009,inproceedings,0,0,0,1030--1041,"{EDBT} 2009, 12th International Conference on Extending Database Technology, Saint Petersburg, Russia, March 24-26, 2009, Proceedings"
2154,0,Nonparametric Latent Feature Models for Link Prediction,Kurt T. Miller and Thomas L. Griffiths and Michael I. Jordan,2009,inproceedings,0,0,0,1276--1284,"Advances in Neural Information Processing Systems 22: 23rd Annual Conference on Neural Information Processing Systems 2009. Proceedings of a meeting held 7-10 December 2009, Vancouver, British Columbia, Canada."
2312,0,"Nonnegative Matrix Factorization for Combinatorial Optimization: Spectral Clustering, Graph Matching, and Clique Finding",Chris H. Q. Ding and Tao Li and Michael I. Jordan,2008,inproceedings,0,0,0,183--192,"Proceedings of the 8th {IEEE} International Conference on Data Mining {(ICDM} 2008), December 15-19, 2008, Pisa, Italy"
2122,0,Optimal rates for zero-order optimization: the power of two function evaluations,John C. Duchi and Michael I. Jordan and Martin J. Wainwright and Andre Wibisono,2013,article,CoRR,0,abs/1312.2139,0,0
756,0,False Positive or False Negative: Mining Frequent Itemsets from High Speed Transactional Data Streams,Jeffrey Xu Yu and Zhihong Chong and Hongjun Lu and Aoying Zhou,2004,inproceedings,0,0,0,204--215,"(e)Proceedings of the Thirtieth International Conference on Very Large Data Bases, Toronto, Canada, August 31 - September 3 2004"
701,0,False-Negative Frequent Items Mining from Data Streams with Bursting,Zhihong Chong and Jeffrey Xu Yu and Hongjun Lu and Zhengjie Zhang and Aoying Zhou,2005,inproceedings,0,0,0,422--434,"Database Systems for Advanced Applications, 10th International Conference, {DASFAA} 2005, Beijing, China, April 17-20, 2005, Proceedings"
2080,0,Managing data transfers in computer clusters with orchestra,Mosharaf Chowdhury and Matei Zaharia and Justin Ma and Michael I. Jordan and Ion Stoica,2011,inproceedings,0,0,0,98--109,"Proceedings of the {ACM} {SIGCOMM} 2011 Conference on Applications, Technologies, Architectures, and Protocols for Computer Communications, Toronto, ON, Canada, August 15-19, 2011"
524,0,Incremental conceptual clustering from existing databases,James R. Rowland and Gregg T. Vesonder,1987,inproceedings,0,0,0,80--87,"Proceedings of the 15th {ACM} Annual Conference on Computer Science, St. Louis, Missouri, USA, February 16-19, 1987"
1250,0,A two-stage machine learning approach for pathway analysis,Wei Zhang and Scott J. Emrich and Erliang Zeng,2010,inproceedings,0,0,0,274--279,"2010 {IEEE} International Conference on Bioinformatics and Biomedicine, {BIBM} 2010, Hong Kong, China, 18 - 21 December 2010, Proceedings"
2153,0,Learning in Boltzmann Trees,Lawrence K. Saul and Michael I. Jordan,1994,article,Neural Computation,6,6,1174--1184,0
2206,0,Revisiting k-means: New Algorithms via Bayesian Nonparametrics,Brian Kulis and Michael I. Jordan,2011,article,CoRR,0,abs/1111.0352,0,0
637,0,Efficient Core Maintenance in Large Dynamic Graphs,Rong{-}Hua Li and Jeffrey Xu Yu,2012,article,CoRR,0,abs/1207.4567,0,0
763,0,Response Time Constrained Top-k Query Evaluation in Sensor Networks,Weifa Liang and Baichen Chen and Jeffrey Xu Yu,2008,inproceedings,0,0,0,575--582,"14th International Conference on Parallel and Distributed Systems, {ICPADS} 2008, Melbourne, Victoria, Australia, December 8-10, 2008"
128,0,Finding top-k similar graphs in graph databases,Yuanyuan Zhu and Lu Qin and Jeffrey Xu Yu and Hong Cheng,2012,inproceedings,0,0,0,456--467,"15th International Conference on Extending Database Technology, {EDBT} '12, Berlin, Germany, March 27-30, 2012, Proceedings"
172,0,Community Detection in Social Networks: An In-depth Benchmarking Study with a Procedure-Oriented Framework,Meng Wang and Chaokun Wang and Jeffrey Xu Yu and Jun Zhang,2015,article,PVLDB,10,8,998--1009,0
758,0,Link prediction: the power of maximal entropy random walk,Rong{-}Hua Li and Jeffrey Xu Yu and Jianquan Liu,2011,inproceedings,0,0,0,1147--1156,"Proceedings of the 20th {ACM} Conference on Information and Knowledge Management, {CIKM} 2011, Glasgow, United Kingdom, October 24-28, 2011"
1471,0,The Interface Between Language Theory and Database Theory,Jeffrey D. Ullman,1992,inproceedings,0,0,0,133--151,Theoretical Studies in Computer Science
204,0,Neighborhood-privacy protected shortest distance computing in cloud,Jun Gao and Jeffrey Xu Yu and Ruoming Jin and Jiashuai Zhou and Tengjiao Wang and Dongqing Yang,2011,inproceedings,0,0,0,409--420,"Proceedings of the {ACM} {SIGMOD} International Conference on Management of Data, {SIGMOD} 2011, Athens, Greece, June 12-16, 2011"
2669,0,Minimally-Sized Balanced Decomposition Schemes for Multi-class Classification,Evgueni N. Smirnov and Matthijs Moed and Georgi I. Nalbantov and Ida G. Sprinkhuizen{-}Kuyper,2011,incollection,0,0,0,39--58,Ensembles in Machine Learning Applications
718,0,Structural Map: {A} New Index for Efficient {XML} Path Expression Processing,Shihui Zheng and Aoying Zhou and Jeffrey Xu Yu and Long Zhang and Han Tao,2002,inproceedings,0,0,0,25--36,"Advances in Web-Age Information Management, Third International Conference, {WAIM} 2002, Beijing, China, August 11-13, 2002, Proceedings"
1875,0,A Web-Geographical Information System to Support Territorial Data Integration,Giuseppe Pozzi and Fabio A. Schreiber and Letizia Tanca and Luca Tosi,2005,incollection,0,0,0,33--37,Encyclopedia of Information Science and Technology {(5} Volumes)
60,0,Machine Learning Based Autonomous Network Flow Identifying Method,Hongbo Shi and Tomoki Hamagami and Haoyuan Xu,2011,inproceedings,0,0,0,447--457,"Wireless Internet - 6th International {ICST} Conference, {WICON} 2011, Xi'an, China, October 19-21, 2011, Revised Selected Papers"
111,0,Exploring Hierarchies in Online Social Networks,Can Lu and Jeffrey Xu Yu and Rong{-}Hua Li and Hao Wei,2015,article,CoRR,0,abs/1502.04220,0,0
601,0,Diversifying Top-K Results,Lu Qin and Jeffrey Xu Yu and Lijun Chang,2012,article,PVLDB,11,5,1124--1135,0
1621,0,Selection of patents for the Chemical Abstracts Service data base,P. J. Pollick,1983,article,Journal of Chemical Information and Computer Sciences,4,23,160--165,0
2088,0,Bayesian Generalized Kernel Models,Zhihua Zhang and Guang Dai and Donghui Wang and Michael I. Jordan,2010,inproceedings,0,0,0,972--979,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, {AISTATS} 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
2098,0,Reinforcement Learning Algorithm for Partially Observable Markov Decision Problems,Tommi S. Jaakkola and Satinder P. Singh and Michael I. Jordan,1994,inproceedings,0,0,0,345--352,"Advances in Neural Information Processing Systems 7, {[NIPS} Conference, Denver, Colorado, USA, 1994]"
118,0,Efficient Algorithms for Distance-Based Representative Skyline Computation in 2D Space,Taotao Cai and Rong{-}Hua Li and Jeffrey Xu Yu and Rui Mao and Yadi Cai,2015,inproceedings,0,0,0,116--128,"Web Technologies and Applications - 17th Asia-PacificWeb Conference, APWeb 2015, Guangzhou, China, September 18-20, 2015, Proceedings"
2480,0,Positional accuracy and measurement error in digital databases of land use: an empirical study,R. Dunn and A. R. Harrison and J. C. White,1990,article,International Journal of Geographical Information Science,4,4,385--398,0
