id,publisher,isbn,title,series,author,year,ENTRYTYPE,journal,number,volume,link,pages,booktitle,crossref
29,0,0,"An e-Marketplace Infrastructure for Model-Based Matchmaking between Consumers and Providers of Multimodal Earth Science Data",0,"Chung{-}Sheng Li and Yuan{-}Chi Chang and John R. Smith",2001,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICME.2001.1237952,0,"Proceedings of the 2001 {IEEE} International Conference on Multimedia and Expo, {ICME} 2001, August 22-25, 2001, Tokyo, Japan",DBLP:conf/icmcs/2001
30,0,0,"A supervised machine learning approach of extracting coexpression relationship among genes from literature",0,"Richa Tiwari and Chengcui Zhang and Thamar  Solorio",2010,inproceedings,0,0,0,http://dx.doi.org/10.1109/IRI.2010.5558956,98--103,"Proceedings of the {IEEE} International Conference on Information Reuse and Integration, {IRI} 2010, 4-6 August 2010, Las Vegas, Nevada, {USA}",DBLP:conf/iri/2010
31,0,0,"{DNA} Data Bank of Japan {(DDBJ)} for genome scale research in life science",0,"Yoshio Tateno and Tadashi Imanishi and Satoru Miyazaki and Kaoru Fukami{-}Kobayashi and Naruya Saitou and Hideaki Sugawara and Takashi Gojobori",2002,article,Nucleic Acids Research,1,30,http://dx.doi.org/10.1093/nar/30.1.27,27--30,0,
32,0,0,Sort Processing in a Deductive Database System,0,"Albert Maier and Michael Ley and Erich Gehlen",1991,article,{IWBS} Report,0,154,0,0,0,
33,0,0,"A method of transferring cones of intersection form to cones of sum form and its applications in data envelopment analysis models",0,"Hong Yan and Quanling Wei",2000,article,Int. J. Systems Science,5,31,http://dx.doi.org/10.1080/002077200290939,629--638,0,
34,0,0,"Predicting ""Essential"" Genes across Microbial Genomes: {A} Machine Learning Approach",0,"Krishnaveni Palaniappan and Sumitra Mukherjee",2011,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICMLA.2011.114,189--194,"10th International Conference on Machine Learning and Applications and Workshops, {ICMLA} 2011, Honolulu, Hawaii, USA, December 18-21, 2011. Volume 2: Special Sessions and Workshop",DBLP:conf/icmla/2011-2
35,0,0,SOM,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_766,906,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
36,0,0,Machine Learning Approaches for Modeling Spammer Behavior,0,"Md. Saiful Islam and Abdullah Al Mahmud and Md. Rafiqul Islam",2010,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-17187-1_24,251--260,"Information Retrieval Technology - 6th Asia Information Retrieval Societies Conference, {AIRS} 2010, Taipei, Taiwan, December 1-3, 2010. Proceedings",DBLP:conf/airs/2010
37,0,0,A Generalization of the Trie Data Structure,0,"Richard H. Connelly and F. Lockwood Morris",1995,article,Mathematical Structures in Computer Science,3,5,http://dx.doi.org/10.1017/S0960129500000803,381--418,0,
38,0,0,Belief State Markov Decision Processes,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_70,97,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
39,0,0,Recursive Median Partitioning for Virtual Screening of Large Databases,0,"Jeffrey W. Godden and John R. Furr and J{\""{u}}rgen Bajorath",2003,article,Journal of Chemical Information and Computer Sciences,1,43,http://dx.doi.org/10.1021/ci0203848,182--188,0,
40,0,0,Bayesian Model Averaging,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_64,81,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
41,0,0,Clustering from Data Streams,0,Jo{\~{a}}o Gama,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_127,180--183,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
42,0,0,Bayes Adaptive Markov Decision Processes,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_60,74,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
43,0,0,Baum-Welch Algorithm,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_59,74,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
44,0,0,Bias-Variance-Covariance Decomposition,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_77,111,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
45,0,0,Bias-Variance Trade-offs,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_76,110,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
46,0,0,Bias Variance Decomposition,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_74,100--101,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
47,0,0,Average-Cost Optimization,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_47,63,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
48,0,0,On Finding Predictors for Arbitrary Families of Processes,0,Daniil Ryabko,2010,article,Journal of Machine Learning Research,0,11,http://doi.acm.org/10.1145/1756006.1756023,581--602,0,
49,0,0,AUC,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_44,53,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
50,0,0,Mis and the Behavioral Sciences: Research Patterns and Prescriptions,0,"Martin L. Bariff and Michael J. Ginzberg",1982,article,{DATA} {BASE},1,14,http://doi.acm.org/10.1145/1017702.1017707,19--26,0,
51,0,0,"DiscoveryLink: {A} system for integrated access to life sciences data sources",0,"Laura M. Haas and Peter M. Schwarz and Prasad Kodali and Elon Kotlar and Julia E. Rice and William C. Swope",2001,article,{IBM} Systems Journal,2,40,http://dx.doi.org/10.1147/sj.402.0489,489--511,0,
52,0,0,Model Selection: Beyond the Bayesian/Frequentist Divide,0,"Isabelle Guyon and Amir Saffari and Gideon Dror and Gavin C. Cawley",2010,article,Journal of Machine Learning Research,0,11,http://doi.acm.org/10.1145/1756006.1756009,61--87,0,
53,0,0,"Preprocessing data patterns to simplify the identification of fuzzy models",0,O. Ping,1999,article,Int. J. Systems Science,5,30,http://dx.doi.org/10.1080/002077299292227,479--489,0,
54,0,0,Simple Bayes,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_761,906,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
55,0,0,"Predicting the Start of Protein \emph{alpha}-Helices Using Machine Learning Algorithms",0,"Rui Camacho and Rita Ferreira and Natacha Rosa and V{\^{a}}nia Guimar{\~{a}}es and Nuno A. Fonseca and V{\'{\i}}tor Santos Costa and Miguel de Sousa and Alexandre Magalh{\~{a}}es",2010,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-13214-8_5,33--41,"Advances in Bioinformatics - 4th International Workshop on Practical Applications of Computational Biology and Bioinformatics 2010 {(IWPACBB} 2010), Guimar{\~{a}}es, Portugal, 16-18 June 2010",DBLP:conf/isami/2010iwpacbb
56,0,0,Basic Lemma,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_56,73,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
57,0,0,Model-based Boosting 2.0,0,"Torsten Hothorn and Peter B{\""{u}}hlmann and Thomas Kneib and Matthias Schmid and Benjamin Hofner",2010,article,Journal of Machine Learning Research,0,11,http://portal.acm.org/citation.cfm?id=1859922,2109--2113,0,
58,0,0,"Strange Beta: An Assistance System for Indoor Rock Climbing Route Setting Using Chaotic Variations and Machine Learning",0,"Caleb Phillips and Lee Becker and Elizabeth Bradley",2011,article,CoRR,0,abs/1110.0532,http://arxiv.org/abs/1110.0532,0,0,
59,0,0,Bake-Off,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_53,73,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
60,0,0,Machine Learning Based Autonomous Network Flow Identifying Method,0,"Hongbo Shi and Tomoki Hamagami and Haoyuan Xu",2011,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-30493-4_43,447--457,"Wireless Internet - 6th International {ICST} Conference, {WICON} 2011, Xi'an, China, October 19-21, 2011, Revised Selected Papers",DBLP:conf/wicon/2011
61,0,0,Backprop,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_50,69--73,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
62,0,0,Average-Payoff Reinforcement Learning,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_892,64,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
63,0,0,A Coded Data Bank for Chemical Instrumentation,0,Reuben Rudman,1977,article,Journal of Chemical Information and Computer Sciences,4,17,http://dx.doi.org/10.1021/ci60012a006,208--210,0,
64,0,0,"The impact of geographical information systems on the role of spatial data libraries",0,"Pohchin Lai and Charles F. Gillies",1991,article,International Journal of Geographical Information Science,2,5,http://dx.doi.org/10.1080/02693799108927846,241--251,0,
65,0,0,Solution Concept,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_764,906,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
66,0,0,Sequential Inductive Transfer,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_755,902,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
67,0,0,Construction of Model of Structured Documents Based on Machine Learning,0,Sergey Golubev,2011,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-21786-9_69,424--431,"Pattern Recognition and Machine Intelligence - 4th International Conference, PReMI 2011, Moscow, Russia, June 27 - July 1, 2011. Proceedings",DBLP:conf/premi/2011
68,0,0,"Global Strategy of Active Machine Learning for Complex Systems: Embryogenesis Application on Cell Division Detection",0,"Emmanuel Faure and Carla Taramasco and Jacques Demongeot and Louise Duloquin and Benoit Lombardot and Nadine Peyri{\'{e}}ras and Paul Bourgine",2010,inproceedings,0,0,0,http://dx.doi.org/10.1109/WAINA.2010.80,802--809,"24th {IEEE} International Conference on Advanced Information Networking and Applications Workshops, {WAINA} 2010, Perth, Australia, 20-13 April 2010",DBLP:conf/aina/2010w
71,Springer,3-540-56694-5,"Live Data Structures in Logic Programs: Derivation by Means of Abstract Interpretation",Lecture Notes in Computer Science,Anne Mulkers,1993,book,0,0,675,http://dx.doi.org/10.1007/3-540-56694-5,0,0,
72,0,0,Morphological Analyzer for Malayalam Using Machine Learning,0,"V. P. Abeera and S. Aparna and R. U. Rekha and M. Anand Kumar and V. Dhanalakshmi and K. P. Soman and S. Rajendran",2010,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-27872-3_38,252--254,"Data Engineering and Management - Second International Conference, {ICDEM} 2010, Tiruchirappalli, India, July 29-31, 2010. Revised Selected Papers",DBLP:conf/icdem/2010
73,0,0,China's Natural Resources Database {(CNRD)},0,Zehui Li,2002,article,Data Science Journal,2,1,http://dx.doi.org/10.2481/dsj.1.238,108--116,0,
74,Springer,3-540-42623-X,"Databases in Telecommunications II, {VLDB} 2001 International Workshop, DBTel 2001 Rome, Italy, September 10, 2001, Proceedings",Lecture Notes in Computer Science,0,2001,proceedings,0,0,2209,0,0,0,
75,0,0,"Poster: PanDA: Next Generation Workload Management and Analysis System for Big Data",0,"Kaushik De and Alexei Klimentov and S. Panitkin and M. Titov and A. Vaniachine and T. Wenaus and D. Yu and Gergely V. Z{\'{a}}ruba",2012,inproceedings,0,0,0,http://dx.doi.org/10.1109/SC.Companion.2012.302,1523,"2012 {SC} Companion: High Performance Computing, Networking Storage and Analysis, Salt Lake City, UT, USA, November 10-16, 2012",DBLP:conf/sc/2012c
76,0,0,"A Bayesian approach to localized multi-kernel learning using the relevance vector machine",0,"R. Close and Joseph N. Wilson and Paul D. Gader",2011,inproceedings,0,0,0,http://dx.doi.org/10.1109/IGARSS.2011.6049389,1103--1106,"2011 {IEEE} International Geoscience and Remote Sensing Symposium, {IGARSS} 2011, Vancouver, BC, Canada, July 24-29, 2011",DBLP:conf/igarss/2011
77,0,0,"A machine learning approach for tracing regulatory codes to product specific requirements",0,"Jane Cleland{-}Huang and Adam Czauderna and Marek Gibiec and John Emenecker",2010,inproceedings,0,0,0,http://doi.acm.org/10.1145/1806799.1806825,155--164,"Proceedings of the 32nd {ACM/IEEE} International Conference on Software Engineering - Volume 1, {ICSE} 2010, Cape Town, South Africa, 1-8 May 2010",DBLP:conf/icse/2010-1
78,0,0,"Advances in Spatial Data Handling. Edited by Dianne Richardson and Peter van Oosterom (Berlin: Springer Verlag, 2002). [Pp. xii+562+CD-ROM]. {ISBN} 3-540-43802-5",0,Peter A. Burrough,2004,article,International Journal of Geographical Information Science,2,18,http://dx.doi.org/10.1080/13658810310001620889,203--204,0,
79,0,0,"Integrating spatial data analysis and {GIS:} a new implementation using the Component Object Model {(COM)}",0,"Matthew J. Ungerer and Michael F. Goodchild",2002,article,International Journal of Geographical Information Science,1,16,http://dx.doi.org/10.1080/13658810110095066,41--53,0,
80,0,0,"Classification of abnormalities in digitized mammograms using Extreme Learning Machine",0,"Gopalan Vani and Ramaswamy Savitha and Narasimhan Sundararajan",2010,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICARCV.2010.5707794,2114--2117,"11th International Conference on Control, Automation, Robotics and Vision, {ICARCV} 2010, Singapore, 7-10 December 2010, Proceedings",DBLP:conf/icarcv/2010
81,0,0,Active Learning and Crowd-Sourcing for Machine Translation,0,"Vamshi Ambati and Stephan Vogel and Jaime G. Carbonell",2010,inproceedings,0,0,0,http://www.lrec-conf.org/proceedings/lrec2010/summaries/244.html,0,"Proceedings of the International Conference on Language Resources and Evaluation, {LREC} 2010, 17-23 May 2010, Valletta, Malta",DBLP:conf/lrec/2010
82,0,0,"What next?: a half-dozen data management research goals for big data and the cloud",0,Surajit Chaudhuri,2012,inproceedings,0,0,0,http://doi.acm.org/10.1145/2213556.2213558,1--4,"Proceedings of the 31st {ACM} {SIGMOD-SIGACT-SIGART} Symposium on Principles of Database Systems, {PODS} 2012, Scottsdale, AZ, USA, May 20-24, 2012",DBLP:conf/pods/2012
83,0,0,Overview of the {NAS/NRC} Conference on Large Data Bases,0,Martha E. Williams,1975,article,Journal of Chemical Information and Computer Sciences,1,15,http://dx.doi.org/10.1021/ci60001a002,3--5,0,
84,Springer,3-540-64199-8,"Semantics in Databases, Selected Papers from a Workshop, Prague, Czech Republic, 1995",Lecture Notes in Computer Science,0,1998,proceedings,0,0,1358,0,0,0,
85,0,0,Regression,0,"Novi Quadrianto and Wray L. Buntine",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_710,838--842,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
86,Springer,3-540-19121-6,"{MFDBS} 87, 1st Symposium on Mathematical Fundamentals of Database Systems, Dresden, GDR, January 19-23, 1987, Proceedings",Lecture Notes in Computer Science,0,1988,proceedings,0,0,305,0,0,0,
87,Springer,978-3-642-23807-9,"Machine Learning and Knowledge Discovery in Databases - European Conference, {ECML} {PKDD} 2011, Athens, Greece, September 5-9, 2011, Proceedings, Part {III}",Lecture Notes in Computer Science,0,2011,proceedings,0,0,6913,http://dx.doi.org/10.1007/978-3-642-23808-6,0,0,
88,Springer,978-3-642-23782-9,"Machine Learning and Knowledge Discovery in Databases - European Conference, {ECML} {PKDD} 2011, Athens, Greece, September 5-9, 2011, Proceedings, Part {II}",Lecture Notes in Computer Science,0,2011,proceedings,0,0,6912,http://dx.doi.org/10.1007/978-3-642-23783-6,0,0,
89,Springer,978-3-642-23779-9,"Machine Learning and Knowledge Discovery in Databases - European Conference, {ECML} {PKDD} 2011, Athens, Greece, September 5-9, 2011. Proceedings, Part {I}",Lecture Notes in Computer Science,0,2011,proceedings,0,0,6911,http://dx.doi.org/10.1007/978-3-642-23780-5,0,0,
90,0,0,Mixture Model,0,Rohan A. Baxter,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_547,680--682,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
91,0,0,"Toward more efficient and flexible expert systems via database design (abstract only)",0,"Frank D. Anger and Rita V. Rodr{\'{\i}}guez and Douglas D. Dankel II",1987,inproceedings,0,0,0,http://doi.acm.org/10.1145/322917.323039,378,"Proceedings of the 15th {ACM} Annual Conference on Computer Science, St. Louis, Missouri, USA, February 16-19, 1987",DBLP:conf/acm/1987
92,0,0,"The design and development of a social science data warehouse: {A} case study of the Human Resources Development Data Warehouse Project of the Human Sciences Research Council, South Africa",0,Andrew Paterson,2003,article,Data Science Journal,0,2,http://dx.doi.org/10.2481/dsj.2.12,12--24,0,
93,0,0,Online Learning for Interactive Statistical Machine Translation,0,"Daniel Ortiz{-}Mart{\'{\i}}nez and Ismael Garc{\'{\i}}a{-}Varea and Francisco Casacuberta",2010,inproceedings,0,0,0,http://www.aclweb.org/anthology/N10-1079,546--554,"Human Language Technologies: Conference of the North American Chapter of the Association of Computational Linguistics, Proceedings, June 2-4, 2010, Los Angeles, California, {USA}",DBLP:conf/naacl/2010
94,0,0,"Computer Aided Method for Chemical Structure Elucidation Using Spectral Databases and 13C {NMR} Correlation Tables",0,"Igor I. Strokov and Konstantin S. Lebedev",1999,article,Journal of Chemical Information and Computer Sciences,4,39,http://dx.doi.org/10.1021/ci980184p,659--665,0,
95,0,0,"Towards Better Receptor-Ligand Prioritization: How Machine Learning on Protein-Protein Interaction Data Can Provide Insight Into Receptor-Ligand Pairs",0,"Ernesto Iacucci and Yves Moreau",2010,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-15819-3_35,267--271,"Artificial Neural Networks - {ICANN} 2010 - 20th International Conference, Thessaloniki, Greece, September 15-18, 2010, Proceedings, Part {I}",DBLP:conf/icann/2010-1
96,Springer,3-540-51251-9,"{MFDBS} 89, 2nd Symposium on Mathematical Fundamentals of Database Systems, Visegr{\'{a}}d, Hungary, June 26-30, 1989",Lecture Notes in Computer Science,0,1989,proceedings,0,0,364,0,0,0,
97,0,0,"Opinion Detection by Combining Machine Learning {\&} Linguistic Tools",0,"Olena Zubaryeva and Jacques Savoy",2010,inproceedings,0,0,0,http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings8/NTCIR/02-NTCIR8-MOAT-ZubaryevaO.pdf,221--227,"Proceedings of the 8th {NTCIR} Workshop Meeting on Evaluation of Information Access Technologies: Information Retrieval, Question Answering and Cross-Lingual Information Access, NTCIR-8, National Center of Sciences, Tokyo, Japan, June 15-18, 2010",DBLP:conf/ntcir/2010
98,0,0,"Visual analytics for the big data era - {A} comparative review of state-of-the-art commercial systems",0,"Leishi Zhang and Andreas Stoffel and Michael Behrisch and Sebastian Mittelst{\""{a}}dt and Tobias Schreck and Ren{\'{e}} Pompl and Stefan Weber and Holger Last and Daniel A. Keim",2012,inproceedings,0,0,0,http://dx.doi.org/10.1109/VAST.2012.6400554,173--182,"2012 {IEEE} Conference on Visual Analytics Science and Technology, {VAST} 2012, Seattle, WA, USA, October 14-19, 2012",DBLP:conf/ieeevast/2012
99,0,0,Exploring research issues over large graphs,0,Jeffrey Xu Yu,2012,inproceedings,0,0,0,http://doi.ieeecomputersociety.org/10.1109/GrC.2012.6468709,18,"2012 {IEEE} International Conference on Granular Computing, GrC 2012, Hangzhou, China, August 11-13, 2012",DBLP:conf/grc/2012
100,0,0,K-Reach: Who is in Your Small World,0,"James Cheng and Zechao Shang and Hong Cheng and Haixun Wang and Jeffrey Xu Yu",2012,article,CoRR,0,abs/1208.0090,http://arxiv.org/abs/1208.0090,0,0,
