id,label,left_id,left_publisher,left_isbn,left_title,left_series,left_author,left_year,left_ENTRYTYPE,left_journal,left_number,left_volume,left_link,left_pages,left_booktitle,left_crossref,right_id,right_title,right_booktitle,right_author,right_pages,right_year,right_organization,right_ENTRYTYPE,right_publisher,right_journal,right_number,right_volume
20,1,177,0,0,Context-Aware Object Connection Discovery in Large Graphs,0,James Cheng and Yiping Ke and Wilfred Ng and Jeffrey Xu Yu,2009,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICDE.2009.87,856--867,"Proceedings of the 25th International Conference on Data Engineering, {ICDE} 2009, March 29 2009 - April 2 2009, Shanghai, China",DBLP:conf/icde/2009,1642,Context-aware object connection discovery in large graphs,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on","Cheng, James and Ke, Yiping and Ng, Wilfred and Yu, Jeffrey Xu",856--867,2009,IEEE,inproceedings,0,0,0,
21,0,1824,0,0,Two Examples of Computational Creativity: {ILP} Multiple Predicate Synthesis and the 'Assets' in Theorem Proving,0,Marta Franov{\'{a}} and Yves Kodratoff,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-3-642-05179-1_8,155--173,"Advances in Machine Learning II, Dedicated to the Memory of Professor Ryszard S. Michalski",DBLP:series/sci/2010-263,1741,Matching top-k answers of twig patterns in probabilistic XML,Database Systems for Advanced Applications,"Ning, Bo and Liu, Chengfei and Yu, Jeffrey Xu and Wang, Guoren and Li, Jianxin",125--139,2010,0,incollection,Springer Berlin Heidelberg,0,0,
22,1,201,0,0,Index-based Optimal Algorithms for Computing Steiner Components with Maximum Connectivity,0,Lijun Chang and Xuemin Lin and Lu Qin and Jeffrey Xu Yu and Wenjie Zhang,2015,inproceedings,0,0,0,http://doi.acm.org/10.1145/2723372.2746486,459--474,"Proceedings of the 2015 {ACM} {SIGMOD} International Conference on Management of Data, Melbourne, Victoria, Australia, May 31 - June 4, 2015",DBLP:conf/sigmod/2015,2052,Index-based Optimal Algorithms for Computing Steiner Components with Maximum Connectivity,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,"Chang, Lijun and Lin, Xuemin and Qin, Lu and Yu, Jeffrey Xu and Zhang, Wenjie",459--474,2015,ACM,inproceedings,0,0,0,
23,0,1593,0,0,Adding intelligence to a scientific database,0,F. J. Smith,2004,article,Data Science Journal,0,3,http://dx.doi.org/10.2481/dsj.3.182,182--190,0,0,2798,Systems and methods for distributing information to an operator of a vehicle,0,"Yu, Philip Shi-lung and Greene, David P and Stern, Edith H and Willner, Barry E",0,2004,0,misc,0,0,0,
24,0,330,0,0,A Database Redo Log System Based on Virtual Memory Disk,0,Haiping Wu and Hongliang Yu and Bigang Li and Wei Xue and Weimin Zheng,2006,inproceedings,0,0,0,http://dx.doi.org/10.1007/11758532_86,656--662,"Computational Science - {ICCS} 2006, 6th International Conference, Reading, UK, May 28-31, 2006, Proceedings, Part {III}",DBLP:conf/iccS/2006-3,2397,Content based method for product-peer filtering,0,"Aggarwal, Charu C and Philip, S Yu",0,2002,0,misc,0,0,0,
25,1,636,0,0,A Dynamic Scheduler for the Infinite Air-Cache,0,Kian{-}Lee Tan and Jeffrey Xu Yu,1997,article,Data Knowl. Eng.,1,24,http://dx.doi.org/10.1016/S0169-023X(97)00003-7,97--112,0,0,1706,A dynamic scheduler for the infinite air-cache,0,"Tan, Kian-Lee and Jeffrey, X Yu",97--112,1997,0,article,North-Holland,Data \& knowledge engineering,1,24
26,1,114,0,0,A Framework of Algorithms: Computing the Bias and Prestige of Nodes in Trust Networks,0,Rong{-}Hua Li and Jeffrey Xu Yu and Xin Huang and Hong Cheng,2012,article,CoRR,0,abs/1207.5661,http://arxiv.org/abs/1207.5661,0,0,0,1979,A framework of algorithms: Computing the bias and prestige of nodes in trust networks,0,"Li, Rong-Hua and Yu, Jeffrey Xu and Huang, Xin and Cheng, Hong",0,2012,0,article,0,0,0,
27,0,265,0,0,Estimating Node Influenceability in Social Networks,0,Rong{-}Hua Li and Jeffrey Xu Yu and Zechao Shang,2012,article,CoRR,0,abs/1207.0913,http://arxiv.org/abs/1207.0913,0,0,0,2785,A graph theoretical approach to determine a join reducer sequence in distributed query processing,0,"Chen, Ming-Syan and Yu, Philip S",152--165,1994,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",1,6
28,0,2854,0,0,Using Classifier-Based Nominal Imputation to Improve Machine Learning,0,Xiaoyuan Su and Russell Greiner and Taghi M. Khoshgoftaar and Amri Napolitano,2011,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-20841-6_11,124--135,"Advances in Knowledge Discovery and Data Mining - 15th Pacific-Asia Conference, {PAKDD} 2011, Shenzhen, China, May 24-27, 2011, Proceedings, Part {I}",DBLP:conf/pakdd/2011-1,2021,On efficient distance-based similarity search,"Data Mining Workshops (ICDMW), 2011 IEEE 11th International Conference on","Liu, Jianquan and Chen, Hanxiong and Furuse, Kazutaka and Kitagawa, Hiroyuki and Yu, Jeffrey Xu",1199--1202,2011,IEEE,inproceedings,0,0,0,
29,0,2140,0,0,Active Learning for Crowd-Sourced Databases,0,Barzan Mozafari and Purnamrita Sarkar and Michael J. Franklin and Michael I. Jordan and Samuel Madden,2012,article,CoRR,0,abs/1209.3686,http://arxiv.org/abs/1209.3686,0,0,0,1276,Separating figure from ground with a parallel network,0,"Kienker, Paul K and Sejnowski, Terrence J and Hinton, Geoffrey E and Schumacher, Lee E",197--216,1986,0,article,0,Perception,2,15
30,0,154,0,0,Query-Driven Frequent Co-Occurring Term Computation over Relational Data Using MapReduce,0,Jianxin Li and Chengfei Liu and Rui Zhou and Jeffrey Xu Yu,2015,article,Comput. J.,3,58,http://dx.doi.org/10.1093/comjnl/bxu090,497--513,0,0,2537,Maple: A fast algorithm for maximal pattern-based clustering,"Data Mining, 2003. ICDM 2003. Third IEEE International Conference on","Pei, Jian and Zhang, Xiaoling and Cho, Moonjung and Wang, Haixun and Yu, Philip S",259--266,2003,IEEE,inproceedings,0,0,0,
31,0,2097,0,0,Fast Learning by Bounding Likelihoods in Sigmoid Type Belief Networks,0,Tommi S. Jaakkola and Lawrence K. Saul and Michael I. Jordan,1995,inproceedings,0,0,0,http://papers.nips.cc/paper/1111-fast-learning-by-bounding-likelihoods-in-sigmoid-type-belief-networks,528--534,"Advances in Neural Information Processing Systems 8, NIPS, Denver, CO, November 27-30, 1995",DBLP:conf/nips/1995,2650,Extracting Interpretable Features for Early Classification on Time Series.,0,"Xing, Zhengzheng and Pei, Jian and Philip, S Yu and Wang, Ke",247--258,2011,0,article,0,SDM,0,11
32,0,1546,0,0,Analysis of Multi-stage Convex Relaxation for Sparse Regularization,0,Tong Zhang,2010,article,Journal of Machine Learning Research,0,11,http://doi.acm.org/10.1145/1756006.1756041,1081--1107,0,0,2616,Design and analysis of a look-ahead scheduling scheme to support pause-resume for video-on-demand applications,0,"Philip, S Yu and Wolf, Joel L and Shachnai, Hadas",137--149,1995,0,article,Springer-Verlag,Multimedia Systems,4,3
33,0,778,0,0,Energy-efficient skyline query optimization in wireless sensor networks,0,Baichen Chen and Weifa Liang and Jeffrey Xu Yu,2012,article,Wireless Networks,8,18,http://dx.doi.org/10.1007/s11276-012-0446-z,985--1004,0,0,2412,Dynamic load balancing on web-server systems,0,"Cardellini, Valeria and Colajanni, Michele and Philip, S Yu",28--39,1999,0,article,IEEE,IEEE Internet computing,3,
34,0,1882,0,0,New {SQL} Standard in Database Modeling,0,Eric Pardede and J. Wenny Rahayu and David Taniar,2005,incollection,0,0,0,http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=14570,2116--2121,Encyclopedia of Information Science and Technology {(5} Volumes),DBLP:books/idea/Ency05,234,Semi-supervised sequence modeling with syntactic topic models,0,"Li, Wei and McCallum, Andrew",813,2005,0,article,"Menlo Park, CA; Cambridge, MA; London; AAAI Press; MIT Press; 1999",Proceedings of the National Conference on Artificial Intelligence,2,20
35,0,738,0,0,Querying Shortest Path Distance with Bounded Errors in Large Graphs,0,Miao Qiao and Hong Cheng and Jeffrey Xu Yu,2011,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-22351-8_16,255--273,"Scientific and Statistical Database Management - 23rd International Conference, {SSDBM} 2011, Portland, OR, USA, July 20-22, 2011. Proceedings",DBLP:conf/ssdbm/2011,1708,Querying shortest path distance with bounded errors in large graphs,Scientific and Statistical Database Management,"Qiao, Miao and Cheng, Hong and Yu, Jeffrey Xu",255--273,2011,0,incollection,Springer Berlin Heidelberg,0,0,
36,0,2326,0,0,Approximating Posterior Distributions in Belief Networks Using Mixtures,0,Christopher M. Bishop and Neil D. Lawrence and Tommi S. Jaakkola and Michael I. Jordan,1997,inproceedings,0,0,0,http://papers.nips.cc/paper/1392-approximating-posterior-distributions-in-belief-networks-using-mixtures,416--422,"Advances in Neural Information Processing Systems 10, {[NIPS} Conference, Denver, Colorado, USA, 1997]",DBLP:conf/nips/1997,2776,Mining Community Structure of Named Entities from Web Pages and Blogs.,AAAI Spring Symposium: Computational Approaches to Analyzing Weblogs,"Li, Xin and Liu, Bing and Philip, S Yu",108--114,2006,0,inproceedings,0,0,0,
37,1,144,0,0,Contained Rewritings of XPath Queries Using Views Revisited,0,Junhu Wang and Jeffrey Xu Yu and Chengfei Liu,2008,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-540-85481-4_31,410--425,"Web Information Systems Engineering - {WISE} 2008, 9th International Conference, Auckland, New Zealand, September 1-3, 2008. Proceedings",DBLP:conf/wise/2008,1823,Contained rewritings of XPath queries using views revisited,Web Information Systems Engineering-WISE 2008,"Wang, Junhu and Yu, Jeffrey Xu and Liu, Chengfei",410--425,2008,0,incollection,Springer Berlin Heidelberg,0,0,
38,0,746,0,0,On Maximal Contained Rewriting of Tree Pattern Queries Using Views,0,Junhu Wang and Jeffrey Xu Yu,2010,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-17616-6_53,616--629,"Web Information Systems Engineering - {WISE} 2010 - 11th International Conference, Hong Kong, China, December 12-14, 2010. Proceedings",DBLP:conf/wise/2010,1803,Quasi-SLCA based Keyword Query Processing over Probabilistic XML Data,0,"Li, Jianxin and Liu, Chengfei and Zhou, Rui and Yu, Jeffrey Xu",957--969,2014,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",4,26
39,0,2338,0,0,Parallel Double Greedy Submodular Maximization,0,Xinghao Pan and Stefanie Jegelka and Joseph E. Gonzalez and Joseph K. Bradley and Michael I. Jordan,2014,inproceedings,0,0,0,http://papers.nips.cc/paper/5491-parallel-double-greedy-submodular-maximization,118--126,"Advances in Neural Information Processing Systems 27: Annual Conference on Neural Information Processing Systems 2014, December 8-13 2014, Montreal, Quebec, Canada",DBLP:conf/nips/2014,2139,DiscLDA: Discriminative learning for dimensionality reduction and classification,Advances in neural information processing systems,"Lacoste-Julien, Simon and Sha, Fei and Jordan, Michael I",897--904,2009,0,inproceedings,0,0,0,
40,1,2079,0,0,Multiple Non-Redundant Spectral Clustering Views,0,Donglin Niu and Jennifer G. Dy and Michael I. Jordan,2010,inproceedings,0,0,0,http://www.icml2010.org/papers/342.pdf,831--838,"Proceedings of the 27th International Conference on Machine Learning (ICML-10), June 21-24, 2010, Haifa, Israel",DBLP:conf/icml/2010,2279,Multiple non-redundant spectral clustering views,Proceedings of the 27th international conference on machine learning (ICML-10),"Niu, Donglin and Dy, Jennifer G and Jordan, Michael I",831--838,2010,0,inproceedings,0,0,0,
41,0,2123,0,0,Privacy Aware Learning,0,John C. Duchi and Michael I. Jordan and Martin J. Wainwright,2012,inproceedings,0,0,0,http://papers.nips.cc/paper/4505-privacy-aware-learning,1439--1447,"Advances in Neural Information Processing Systems 25: 26th Annual Conference on Neural Information Processing Systems 2012. Proceedings of a meeting held December 3-6, 2012, Lake Tahoe, Nevada, United States.",DBLP:conf/nips/2012,198,Dynamic sharing and backward compatibility on 64-bit machines,0,"Garrett, William E and Bianchini, LI and Kontothanassis, LI and McCallum, R Andrew and Thomas, Jeffery and Wisniewski, Robert and Scott, Michael L",0,1992,0,book,"University of Rochester, Department of Computer Science",0,0,
42,0,2141,0,0,Learning the Kernel Matrix with Semi-Definite Programming,0,Gert R. G. Lanckriet and Nello Cristianini and Peter L. Bartlett and Laurent El Ghaoui and Michael I. Jordan,2002,inproceedings,0,0,0,0,323--330,"Machine Learning, Proceedings of the Nineteenth International Conference {(ICML} 2002), University of New South Wales, Sydney, Australia, July 8-12, 2002",DBLP:conf/icml/2002,264,Penn/umass/chop biocreative ii systems,0,"Ganchev, Kuzman and Crammer, Koby and Pereira, Fernando and Mann, Gideon and Bellare, Kedar and McCallum, Andrew and Carroll, Steve and Jin, Yang and White, Peter",0,2007,0,article,0,0,0,
43,0,1590,0,0,Bookshelf: a simple curation system for the storage of biomolecular simulation data,0,Shabana Vohra and Benjamin A. Hall and Daniel A. Holdbrook and Syma Khalid and Philip C. Biggin,2010,article,Database,0,2010,http://dx.doi.org/10.1093/database/baq033,0,0,0,3010,Parity Lost and Parity Regained.,0,"Krioukov, Andrew and Bairavasundaram, Lakshmi N and Goodson, Garth R and Srinivasan, Kiran and Thelen, Randy and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",127--141,2008,0,article,0,FAST,0,8
44,1,236,0,0,Clustering Large Attributed Graphs: An Efficient Incremental Approach,0,Yang Zhou and Hong Cheng and Jeffrey Xu Yu,2010,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICDM.2010.41,689--698,"{ICDM} 2010, The 10th {IEEE} International Conference on Data Mining, Sydney, Australia, 14-17 December 2010",DBLP:conf/icdm/2010,1664,Clustering large attributed graphs: An efficient incremental approach,"Data Mining (ICDM), 2010 IEEE 10th International Conference on","Zhou, Yang and Cheng, Hong and Yu, Jeffrey Xu",689--698,2010,IEEE,inproceedings,0,0,0,
45,0,624,0,0,Maintaining Materialized Views for Data Warehouses with Multiple Remote Sources,0,Weifa Liang and Chris Johnson and Jeffrey Xu Yu,2000,inproceedings,0,0,0,http://dx.doi.org/10.1007/3-540-45151-X_29,299--310,"Web-Age Information Management, First International Conference, {WAIM} 2000, Shanghai, China, June 21-23, 2000, Proceedings",DBLP:conf/waim/2000,1829,Maintaining materialized views for data warehouses with multiple remote sources,Web-Age Information Management,"Liang, Weifa and Johnson, Chris and Jeffrey, X Yu",299--311,2000,0,incollection,Springer Berlin Heidelberg,0,0,
46,0,1466,0,0,Multi-view kernel construction,0,Virginia R. de Sa and Patrick W. Gallagher and Joshua M. Lewis and Vicente L. Malave,2010,article,Machine Learning,01-Feb,79,http://dx.doi.org/10.1007/s10994-009-5157-z,47--71,0,0,249,Learning with incomplete selective perception,0,"McCallum, R Andrew",0,1993,0,book,University of Rochester [Department of] Computer Science,0,0,
47,0,697,0,0,Integrating Multiple Data Sources for Stock Prediction,0,Di Wu and Gabriel Pui Cheong Fung and Jeffrey Xu Yu and Zheng Liu,2008,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-540-85481-4_8,77--89,"Web Information Systems Engineering - {WISE} 2008, 9th International Conference, Auckland, New Zealand, September 1-3, 2008. Proceedings",DBLP:conf/wise/2008,2017,Study on Hydraulic Jump Characteristics of Airfoil-shaped Measuring Flume in U-shaped Channel,0,"DINH, Thi Huong and SUN, Bin and YU, Jia and L{\u}, Hong-xing",10,2012,0,article,0,Water Saving Irrigation,0,4
48,0,1016,0,0,Inferring species interaction networks from species abundance data: {A} comparative evaluation of various statistical and machine learning methods,0,Ali Faisal and Frank Dondelinger and Dirk Husmeier and Colin M. Beale,2010,article,Ecological Informatics,6,5,http://dx.doi.org/10.1016/j.ecoinf.2010.06.005,451--464,0,0,1836,Measuring the impact of MVC attack in large complex networks,0,"Li, Rong-Hua and Yu, Jeffrey Xu and Huang, Xin and Cheng, Hong and Shang, Zechao",685--702,2014,0,article,Elsevier,Information Sciences,0,278
49,1,2027,0,0,Estimating Divergence Functionals and the Likelihood Ratio by Convex Risk Minimization,0,XuanLong Nguyen and Martin J. Wainwright and Michael I. Jordan,2010,article,{IEEE} Transactions on Information Theory,11,56,http://dx.doi.org/10.1109/TIT.2010.2068870,5847--5861,0,0,2238,Estimating divergence functionals and the likelihood ratio by convex risk minimization,0,"Nguyen, XuanLong and Wainwright, Martin J and Jordan, Michael and others",5847--5861,2010,0,article,IEEE,"Information Theory, IEEE Transactions on",11,56
