id,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
27,Sound abstraction of probabilistic actions in the constraint mass assignment framework,Proceedings of the Twelfth international conference on Uncertainty in artificial intelligence,"Doan, AnHai and Haddawy, Peter",228--235,1996,Morgan Kaufmann Publishers Inc.,inproceedings,0,0,0,
28,Crowdsourcing systems on the world-wide web,0,"Doan, Anhai and Ramakrishnan, Raghu and Halevy, Alon Y",86--96,2011,0,article,ACM,Communications of the ACM,4,54
29,The clinical potential of influencing Nrf2 signaling in degenerative and immunological disorders,0,"Gao, Bifeng and Doan, An and Hybertson, Brooks M",19,2014,0,article,Dove Press,Clinical pharmacology: advances and applications,0,6
30,Learning mappings between data schemas,0,"Doan, Anhai and Domingos, Pedro and Levy, Alon Y",1--6,2000,0,article,0,Proceedings of the AAAI-2000 Workshop on Learning Statistical Models from Relational Data,0,
31,Merging interface schemas on the deep web via clustering aggregation,"Data Mining, Fifth IEEE International Conference on","Wu, Wensheng and Doan, AnHai and Yu, Clement",4--pp,2005,IEEE,inproceedings,0,0,0,
32,Toward entity retrieval over structured and text data,0,"Sayyadian, Mayssam and Shakery, Azadeh and Doan, AnHai and Zhai, ChengXiang",47--54,2004,0,article,0,Proceedings of the ACM SIGIR 2004 Workshop on the Integration of Information Retrieval and Databases (WIRD’04),0,
33,Efficient keyword search across heterogeneous relational databases,"Data Engineering, 2007. ICDE 2007. IEEE 23rd International Conference on","Sayyadian, Mayssam and LeKhac, Hieu and Doan, AnHai and Gravano, Luis",346--355,2007,IEEE,inproceedings,0,0,0,
34,Corleone: Hands-off crowdsourcing for entity matching,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,"Gokhale, Chaitanya and Das, Sanjib and Doan, AnHai and Naughton, Jeffrey F and Rampalli, Narasimhan and Shavlik, Jude and Zhu, Xiaojin",601--612,2014,ACM,inproceedings,0,0,0,
35,The case for a structured approach to managing unstructured data,0,"Doan, AnHai and Naughton, Jeff and Baid, Akanksha and Chai, Xiaoyong and Chen, Fei and Chen, Ting and Chu, Eric and DeRose, Pedro and Gao, Byron and Gokhale, Chaitanya and others",0,2009,0,article,0,arXiv preprint arXiv:0909.1783,0,
36,Entity retrieval over structured data,0,"Fang, Hui and Sinha, Rishi R and Wu, Wensheng and Doan, AnHai and Zhai, ChengXiang",0,2005,0,article,0,0,0,
37,Declarative information extraction using datalog with embedded extraction predicates,Proceedings of the 33rd international conference on Very large data bases,"Shen, Warren and Doan, AnHai and Naughton, Jeffrey F and Ramakrishnan, Raghu",1033--1044,2007,VLDB Endowment,inproceedings,0,0,0,
38,Managing information extraction: state of the art and research directions,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,"Doan, AnHai and Ramakrishnan, Raghu and Vaithyanathan, Shivakumar",799--800,2006,ACM,inproceedings,0,0,0,
39,Constraint-based entity matching,AAAI,"Shen, Warren and Li, Xin and Doan, AnHai",862--867,2005,0,inproceedings,0,0,0,
40,Systems and methods for event stream processing,0,"Lam, Wang Chee and Liu, Lu and Siripurapu, Taraka Subrahmanya Prasad and Rajaraman, Anand and Vacheri, Zoheb and Doan, AnHai",0,2012,0,misc,0,0,0,
41,Geometric foundations for interval-based probabilities,0,"Ha, Vu A and Doan, AnHai and Vu, Van H and Haddawy, Peter",1--21,1998,0,article,Kluwer Academic Publishers,Annals of Mathematics and Artificial Intelligence,04-Jan,24
42,Learning to match ontologies on the semantic web,0,"Doan, AnHai and Madhavan, Jayant and Dhamankar, Robin and Domingos, Pedro and Halevy, Alon",303--319,2003,0,article,"Springer-Verlag New York, Inc.",The VLDB Journal—The International Journal on Very Large Data Bases,4,12
43,Weighted proximity best-joins for information retrieval,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on","Thonangi, Risi and He, Hao and Doan, AnHai and Wang, Haixun and Yang, Jun",234--245,2009,IEEE,inproceedings,0,0,0,
44,Introduction to the special issue on semantic integration,0,"Doan, AnHai and Noy, Natalya F and Halevy, Alon Y",11--13,2004,0,article,ACM,ACM Sigmod Record,4,33
45,Analyzing and revising data integration schemas to improve their matchability,0,"Chai, Xiaoyong and Sayyadian, Mayssam and Doan, AnHai and Rosenthal, Arnon and Seligman, Len",773--784,2008,0,article,VLDB Endowment,Proceedings of the VLDB Endowment,1,1
46,DBLife: A community information management platform for the database research community,CIDR,"DeRose, Pedro and Shen, Warren and Chen, Fei and Lee, Yoonkyong and Burdick, Douglas and Doan, AnHai and Ramakrishnan, Raghu",169--172,2007,0,inproceedings,0,0,0,
47,"Developing, tuning, and using schema matching systems",0,"Lee, Yoonkyong",0,2010,0,article,0,0,0,
48,Matching schemas in online communities: A web 2.0 approach,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","McCann, Robert and Shen, Warren and Doan, AnHai",110--119,2008,IEEE,inproceedings,0,0,0,
49,Bootstrapping domain ontology for semantic web services from source web sites,Technologies for E-Services,"Wu, Wensheng and Doan, AnHai and Yu, Clement and Meng, Weiyi",11--22,2006,0,incollection,Springer Berlin Heidelberg,0,0,
50,Learning to map between structured representations of data,0,"Doan, AnHai",0,2002,0,phdthesis,0,0,0,
51,"Chimera: Large-scale classification using machine learning, rules, and crowdsourcing",0,"Sun, Chong and Rampalli, Narasimhan and Yang, Frank and Doan, AnHai",1529--1540,2014,0,article,VLDB Endowment,Proceedings of the VLDB Endowment,13,7
52,Olap over imprecise data with domain constraints,Proceedings of the 33rd international conference on Very large data bases,"Burdick, Doug and Doan, AnHai and Ramakrishnan, Raghu and Vaithyanathan, Shivakumar",39--50,2007,VLDB Endowment,inproceedings,0,0,0,
53,Decision-theoretic Refinement Planning in Medical Decision Making Management of Acute Deep Venous Thrombosis,0,"Haddawy, Peter and Doan, AnHai and Kahn, Charles E and others",315--325,1996,0,article,SAGE Publications,Medical Decision Making,4,16
54,Information extraction challenges in managing unstructured data,0,"Doan, AnHai and Naughton, Jeffrey F and Ramakrishnan, Raghu and Baid, Akanksha and Chai, Xiaoyong and Chen, Fei and Chen, Ting and Chu, Eric and DeRose, Pedro and Gao, Byron and others",14--20,2009,0,article,ACM,ACM SIGMOD Record,4,37
55,Modeling and extracting deep-web query interfaces,Advances in Information and Intelligent Systems,"Wu, Wensheng and Doan, AnHai and Yu, Clement and Meng, Weiyi",65--90,2009,0,incollection,Springer Berlin Heidelberg,0,0,
56,Building community wikipedias: A machine-human partnership approach,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","DeRose, Pedro and Chai, Xiaoyong and Gao, Byron J and Shen, Warren and Doan, AnHai and Bohannon, Philip and Zhu, Xiaojin",646--655,2008,IEEE,inproceedings,0,0,0,
57,Crossing the structure chasm,0,"Etzioni, Oren and Halevy, Alon and Doan, Anhai and Ives, Zachary G and Madhaven, Jayant and McDowell, Luke and Tatarinov, Igor",31,2003,0,article,0,Database Research Group (CIS),0,
58,Modeling entity evolution for temporal record matching,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,"Chiang, Yueh-Hsuan and Doan, AnHai and Naughton, Jeffrey F",1175--1186,2014,ACM,inproceedings,0,0,0,
59,Tuffy: Scaling up statistical inference in markov logic networks using an rdbms,0,"Niu, Feng and R{\'e}, Christopher and Doan, AnHai and Shavlik, Jude",373--384,2011,0,article,VLDB Endowment,Proceedings of the VLDB Endowment,6,4
60,A relational approach to incrementally extracting and querying structure in unstructured data,Proceedings of the 33rd international conference on Very large data bases,"Chu, Eric and Baid, Akanksha and Chen, Ting and Doan, AnHai and Naughton, Jeffrey",1045--1056,2007,VLDB Endowment,inproceedings,0,0,0,
61,Object Matching for Information Integration: A Profiler-Based Approach.,IIWeb,"Doan, AnHai and Lu, Ying and Lee, Yoonkyong and Han, Jiawei",53--58,2003,0,inproceedings,0,0,0,
62,eTuner: tuning schema matching software using synthetic scenarios,0,"Lee, Yoonkyong and Sayyadian, Mayssam and Doan, AnHai and Rosenthal, Arnon S",97--122,2007,0,article,"Springer-Verlag New York, Inc.",The VLDB Journal—The International Journal on Very Large Data Bases,1,16
63,Optimizing SQL queries over text databases,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Jain, Alpa and Doan, AnHai and Gravano, Luis",636--645,2008,IEEE,inproceedings,0,0,0,
64,Reconciling schemas of disparate data sources: A machine-learning approach,ACM Sigmod Record,"Doan, AnHai and Domingos, Pedro and Halevy, Alon Y",509--520,2001,ACM,inproceedings,0,0,2,30
65,Join Optimization of Information Extraction Output: Quality Matters!,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on","Jain, Alpa and Ipeirotis, Panagiotis G and Doan, AnHai and Gravano, Luis",186--197,2009,IEEE,inproceedings,0,0,0,
66,On debugging non-answers in keyword search systems,0,"Baid, Akanksha and Wu, Wentao and Sun, Chong and Doan, A and Naughton, Jeffrey F",0,2015,0,book,EDBT,0,0,
67,Crossing the Structure Chasm.,CIDR,"Halevy, Alon Y and Etzioni, Oren and Doan, AnHai and Ives, Zachary G and Madhavan, Jayant and McDowell, Luke and Tatarinov, Igor",0,2003,0,inproceedings,0,0,0,
68,Profile-based object matching for information integration,0,"Doan, AnHai and Lu, Ying and Lee, Yoonkyong and Han, Jiawei",54--59,2003,0,article,IEEE,IEEE Intelligent Systems,5,
69,Tracking entities in the dynamic world: A fast algorithm for matching temporal records,0,"Chiang, Yueh-Hsuan and Doan, AnHai and Naughton, Jeffrey F",469--480,2014,0,article,VLDB Endowment,Proceedings of the VLDB Endowment,6,7
70,Muppet: MapReduce-style processing of fast data,0,"Lam, Wang and Liu, Lu and Prasad, STS and Rajaraman, Anand and Vacheri, Zoheb and Doan, AnHai",1814--1825,2012,0,article,VLDB Endowment,Proceedings of the VLDB Endowment,12,5
71,Decision-theoretic refinement planning: a new method for clinical decision analysis.,0,"Doan, AnHai and Haddawy, Peter and Kahn Jr, Charles E",299,1995,0,article,American Medical Informatics Association,Proceedings of the Annual Symposium on Computer Application in Medical Care,0,
72,Efficiently incorporating user feedback into information extraction and integration programs,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,"Chai, Xiaoyong and Vuong, Ba-Quy and Doan, AnHai and Naughton, Jeffrey F",87--100,2009,ACM,inproceedings,0,0,0,
73,SQL queries over unstructured text databases,"Data Engineering, 2007. ICDE 2007. IEEE 23rd International Conference on","Jain, Alpa and Doan, AnHai and Gravano, Luis",1255--1257,2007,IEEE,inproceedings,0,0,0,
74,"Building, maintaining, and using knowledge bases: A report from the trenches",Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,"Deshpande, Omkar and Lamba, Digvijay S and Tourn, Michel and Das, Sanjib and Subramaniam, Sri and Rajaraman, Anand and Harinarayan, Venky and Doan, AnHai",1209--1220,2013,ACM,inproceedings,0,0,0,
75,A Discriminative Approach to Ontology Mapping.,NTII,"Wick, Michael L and Rohanimanesh, Khashayar and McCallum, Andrew and Doan, AnHai",16--19,2008,0,inproceedings,0,0,0,
76,Efficiently ordering query plans for data integration,"Data Engineering, 2002. Proceedings. 18th International Conference on","Doan, AnHai and Hatevy, A",393--402,2002,IEEE,inproceedings,0,0,0,
77,Toward best-effort information extraction,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,"Shen, Warren and DeRose, Pedro and McCann, Robert and Doan, AnHai and Ramakrishnan, Raghu",1031--1042,2008,ACM,inproceedings,0,0,0,
78,Abstracting probabilistic actions,Proceedings of the Tenth international conference on Uncertainty in artificial intelligence,"Haddawy, Peter and Doan, AnHai",270--277,1994,Morgan Kaufmann Publishers Inc.,inproceedings,0,0,0,
79,Logical Expressiveness of Semantic Web Languages for Bibliographic Information Modeling,0,"Wickett, Karen M",0,2009,0,article,0,0,0,
80,Matching Schemas in Online Communities: A Web 2.0 Approach,0,"Shen, Warren and Doan, AnHai and others",110--119,2008,0,article,0,2008 IEEE 24th International Conference on Data Engineering,0,
81,Principles of Data Integration,0,"Ives, Zachary and Halevy, A and Doan, A",0,2012,0,book,Morgan Kaufmann,0,0,
82,The Claremont report on database research,0,"Agrawal, Rakesh and Ailamaki, Anastasia and Bernstein, Philip A and Brewer, Eric A and Carey, Michael J and Chaudhuri, Surajit and Doan, AnHai and Florescu, Daniela and Franklin, Michael J and Garcia-Molina, Hector and others",9--19,2008,0,article,ACM,ACM Sigmod Record,3,37
83,On the provenance of non-answers to queries over extracted data,0,"Huang, Jiansheng and Chen, Ting and Doan, AnHai and Naughton, Jeffrey F",736--747,2008,0,article,VLDB Endowment,Proceedings of the VLDB Endowment,1,1
84,Community Information Management.,0,"Doan, AnHai and Ramakrishnan, Raghu and Chen, Fei and DeRose, Pedro and Lee, Yoonkyong and McCann, Robert and Sayyadian, Mayssam and Shen, Warren",64--72,2006,0,article,0,IEEE Data Eng. Bull.,1,29
85,Efficient decision-theoretic planning: Techniques and empirical analysis,Proceedings of the Eleventh conference on Uncertainty in artificial intelligence,"Haddawy, Peter and Doan, AnHai and Goodwin, Richard",229--236,1995,Morgan Kaufmann Publishers Inc.,inproceedings,0,0,0,
86,"Crowds, clouds, and algorithms: exploring the human side of big data applications",Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,"Amer-Yahia, Sihem and Doan, AnHai and Kleinberg, Jon and Koudas, Nick and Franklin, Michael",1259--1260,2010,ACM,inproceedings,0,0,0,
87,Generating macro operators for decision-theoretic planning,0,"Doan, AnHai and Haddawy, Peter",0,1995,0,article,0,"Working Notes of the AAAI Spring Symposium on Extending Theories of Action, Stanford",0,
88,Databases and Web 2.0 panel at VLDB 2007,0,"Amer-Yahia, Sihem and Markl, Volker and Halevy, Alon and Doan, AnHai and Alonso, Gustavo and Kossmann, Donald and Weikum, Gerhard",49--52,2008,0,article,ACM,ACM SIGMOD Record,1,37
89,iMAP: discovering complex semantic matches between database schemas,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,"Dhamankar, Robin and Lee, Yoonkyong and Doan, AnHai and Halevy, Alon and Domingos, Pedro",383--394,2004,ACM,inproceedings,0,0,0,
90,User manual of tuffy 0.3,0,"Doan, A and Niu, Feng and R{\'e}, Christopher and Shavlik, Jude and Zhang, Ce",0,2011,0,techreport,0,0,0,
91,Collaborative Development of Information Integration Systems.,AAAI Spring Symposium: Knowledge Collection from Volunteer Contributors,"Doan, AnHai and McCann, Robert and Shen, Warren",34--41,2005,0,inproceedings,0,0,0,
92,Collective data integration for virtual organizations,0,"McCann, Robert and Shen, Warren and Doan, A",0,2004,0,article,0,SIGMOD-04 Workshop on Databases in Virtual Organizations (DIVO-04),0,
93,Collective multi-label classification,Proceedings of the 14th ACM international conference on Information and knowledge management,"Ghamrawi, Nadia and McCallum, Andrew",195--200,2005,ACM,inproceedings,0,0,0,
94,Using reinforcement learning to spider the web efficiently,0,"Rennie, Jason and McCallum, Andrew and others",335--343,1999,0,article,0,ICML,0,99
95,Topic models conditioned on arbitrary features with dirichlet-multinomial regression,0,"Mimno, David and McCallum, Andrew",0,2012,0,article,0,arXiv preprint arXiv:1206.3278,0,
96,$\{$MALLET: A Machine Learning for Language Toolkit$\}$,0,"McCallum, Andrew K",0,2002,0,article,0,0,0,
97,Generalized expectation criteria for semi-supervised learning of conditional random fields,0,"Mann, Gideon S and McCallum, Andrew",0,2008,0,article,0,0,0,
98,An introduction to conditional random fields for relational learning,0,"Sutton, Charles and McCallum, Andrew",93--128,2006,0,article,MIT press,Introduction to statistical relational learning,0,
99,Pachinko allocation: DAG-structured mixture models of topic correlations,Proceedings of the 23rd international conference on Machine learning,"Li, Wei and McCallum, Andrew",577--584,2006,ACM,inproceedings,0,0,0,
100,Learning to use selective attention and short-term memory in sequential tasks,0,"McCallum, Andrew Kachites",315,1996,0,article,MIT Press,From animals to animats 4: proceedings of the fourth international conference on simulation of adaptive behavior,0,4
101,Building domain-specific search engines with machine learning techniques,0,"McCallumzy, Andrew and Nigamy, Kamal and Renniey, Jason and Seymorey, Kristie",0,1999,0,article,0,0,0,
102,"A note on the unification of information extraction and data mining using conditional-probability, relational models",0,"McCallum, Andrew and Jensen, David",0,2003,0,article,0,0,0,
103,Organizing the OCA: learning faceted subjects from a library of digital books,Proceedings of the 7th ACM/IEEE-CS joint conference on Digital libraries,"Mimno, David and McCallum, Andrew",376--385,2007,ACM,inproceedings,0,0,0,
104,Automatic categorization of email into folders: Benchmark experiments on Enron and SRI corpora,0,"Bekkerman, Ron",0,2004,0,article,0,0,0,
105,Learning from labeled features using generalized expectation criteria,Proceedings of the 31st annual international ACM SIGIR conference on Research and development in information retrieval,"Druck, Gregory and Mann, Gideon and McCallum, Andrew",595--602,2008,ACM,inproceedings,0,0,0,
106,Table extraction using conditional random fields,Proceedings of the 26th annual international ACM SIGIR conference on Research and development in informaion retrieval,"Pinto, David and McCallum, Andrew and Wei, Xing and Croft, W Bruce",235--242,2003,ACM,inproceedings,0,0,0,
107,Hidden state and reinforcement learning with instance-based state identification,0,"McCallum, R Andrew",464--473,1996,0,article,IEEE,"Systems, Man, and Cybernetics, Part B: Cybernetics, IEEE Transactions on",3,26
108,Group and topic discovery from relations and text,Proceedings of the 3rd international workshop on Link discovery,"Wang, Xuerui and Mohanty, Natasha and McCallum, Andrew",28--35,2005,ACM,inproceedings,0,0,0,
109,Piecewise training for undirected models,0,"Sutton, Charles and McCallum, Andrew",0,2012,0,article,0,arXiv preprint arXiv:1207.1409,0,
110,"Challenges in information retrieval and language modeling: report of a workshop held at the center for intelligent information retrieval, University of Massachusetts Amherst, September 2002",0,"Allan, James and Aslam, Jay and Belkin, Nicholas and Buckley, Chris and Callan, Jamie and Croft, Bruce and Dumais, Sue and Fuhr, Norbert and Harman, Donna and Harper, David J and others",31--47,2003,0,article,ACM,ACM SIGIR Forum,1,37
111,"Topical n-grams: Phrase and topic discovery, with an application to information retrieval","Data Mining, 2007. ICDM 2007. Seventh IEEE International Conference on","Wang, Xuerui and McCallum, Andrew and Wei, Xing",697--702,2007,IEEE,inproceedings,0,0,0,
112,Distributional clustering of words for text classification,Proceedings of the 21st annual international ACM SIGIR conference on Research and development in information retrieval,"Baker, L Douglas and McCallum, Andrew Kachites",96--103,1998,ACM,inproceedings,0,0,0,
113,Using maximum entropy for text classification,0,"Nigam, Kamal and Lafferty, John and McCallum, Andrew",61--67,1999,0,article,0,IJCAI-99 workshop on machine learning for information filtering,0,1
114,Topics over time: a non-Markov continuous-time model of topical trends,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,"Wang, Xuerui and McCallum, Andrew",424--433,2006,ACM,inproceedings,0,0,0,
115,Bibliometric impact measures leveraging topic analysis,"Digital Libraries, 2006. JCDL'06. Proceedings of the 6th ACM/IEEE-CS Joint Conference on","Mann, Gideon S and Mimno, David and McCallum, Andrew",65--74,2006,IEEE,inproceedings,0,0,0,
116,Improving Author Coreference by Resource-Bounded Information Gathering from the Web.,IJCAI,"Kanani, Pallika H and McCallum, Andrew and Pal, Chris",429--434,2007,0,inproceedings,0,0,0,
117,Modeling relations and their mentions without labeled text,Machine Learning and Knowledge Discovery in Databases,"Riedel, Sebastian and Yao, Limin and McCallum, Andrew",148--163,2010,0,incollection,Springer Berlin Heidelberg,0,0,
118,Conditional random fields: Probabilistic models for segmenting and labeling sequence data,0,"Lafferty, John and McCallum, Andrew and Pereira, Fernando CN",0,2001,0,article,0,0,0,
119,Author disambiguation using error-driven machine learning with a ranking loss function,0,"Culotta, Aron and Kanani, Pallika and Hall, Robert and Wick, Michael and McCallum, Andrew",0,2007,0,article,0,"Sixth International Workshop on Information Integration on the Web (IIWeb-07), Vancouver, Canada",0,
120,A comparison of event models for naive bayes text classification,0,"McCallum, Andrew and Nigam, Kamal",41--48,1998,0,article,0,AAAI-98 workshop on learning for text categorization,0,752
121,Toward optimal active learning through monte carlo estimation of error reduction,0,"Roy, Nicholas and McCallum, Andrew",441--448,2001,0,article,0,"ICML, Williamstown",0,
122,Detecting anomalies in network traffic using maximum entropy estimation,Proceedings of the 5th ACM SIGCOMM conference on Internet Measurement,"Gu, Yu and McCallum, Andrew and Towsley, Don",32--32,2005,USENIX Association,inproceedings,0,0,0,
123,Dynamic conditional random fields: Factorized probabilistic models for labeling and segmenting sequence data,0,"Sutton, Charles and McCallum, Andrew and Rohanimanesh, Khashayar",693--723,2007,0,article,JMLR. org,The Journal of Machine Learning Research,0,8
124,Factorie: Probabilistic programming via imperatively defined factor graphs,Advances in Neural Information Processing Systems,"McCallum, Andrew and Schultz, Karl and Singh, Sameer",1249--1257,2009,0,inproceedings,0,0,0,
125,Information extraction: Distilling structured data from unstructured text,0,"McCallum, Andrew",48--57,2005,0,article,ACM,Queue,9,3
126,Bootstrapping for text learning tasks,0,"Jones, Rosie and McCallum, Andrew and Nigam, Kamal and Riloff, Ellen",0,1999,0,article,0,"IJCAI-99 Workshop on Text Mining: Foundations, Techniques and Applications",7,1
127,Piecewise pseudolikelihood for efficient training of conditional random fields,Proceedings of the 24th international conference on Machine learning,"Sutton, Charles and McCallum, Andrew",863--870,2007,ACM,inproceedings,0,0,0,
128,Chinese segmentation and new word detection using conditional random fields,Proceedings of the 20th international conference on Computational Linguistics,"Peng, Fuchun and Feng, Fangfang and McCallum, Andrew",562,2004,Association for Computational Linguistics,inproceedings,0,0,0,
129,Rethinking LDA: Why priors matter,Advances in neural information processing systems,"Wallach, Hanna M and Mimno, David M and McCallum, Andrew",1973--1981,2009,0,inproceedings,0,0,0,
130,Topic and role discovery in social networks,0,"McCallum, Andrew and Corrada-Emmanuel, Andres and Wang, Xuerui",3,2005,0,article,0,Computer Science Department Faculty Publication Series,0,
131,Information extraction with HMM structures learned by stochastic optimization,0,"Freitag, Dayne and McCallum, Andrew",584--589,2000,0,article,0,AAAI/IAAI,0,2000
