id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
42,0,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",SIGMOD,1995,a scalable architecture for autonomous heterogeneous database interactions,"steven milliner , athman bouguettaya , mike p. papazoglou",VLDB,1995
43,0,mining system audit data : opportunities and challenges,"wei fan , wenke lee",SIGMOD Rec.,2001,amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,"amit sheth , robert meersman",SIGMOD Rec.,2002
44,0,sit-in : a real-life spatio-temporal information system,"stefano de francisci , rossella molinaro , orietta gargano , mario paolucci , leonardo tininini , giuseppe sindoni , paola patteri , amedea ambrosetti , pina ticca , cristina bedeschi",VLDB,2001,environmental information systems,oliver g &#252; nther,SIGMOD Rec.,1997
45,0,partial results for online query processing,"joseph m. hellerstein , vijayshankar raman",SIGMOD,2002,sequence query processing,"praveen seshadri , miron livny , raghu ramakrishnan",SIGMOD,1994
46,1,beyond market baskets : generalizing association rules to correlations,"rajeev motwani , sergey brin , craig silverstein",SIGMOD,1997,beyond market baskets : generalizing association rules to correlations,"sergey brin , rajeev motwani , craig silverstein",SIGMOD,1997
47,0,tracing the lineage of view data in a warehousing environment,"janet l. wiener , yingwei cui , jennifer widom",ACM TODS,2000,lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",VLDB,2001
48,0,editorial,"peter m. g. apers , stefano ceri , richard t. snodgrass",VLDBJ,2002,editorial,richard snodgrass,ACM TODS,2001
49,0,mining fuzzy association rules in databases,"ada wai-chee fu , man hon wong , chan man kuok",SIGMOD Rec.,1998,a new sql-like operator for mining association rules,"rosa meo , giuseppe psaila , stefano ceri",VLDB,1996
50,0,query optimization in the presence of limited access patterns,"dan suciu , ioana manolescu , daniela florescu , alon y. levy",SIGMOD,1999,minimization of tree pattern queries,"sihem amer-yahia , sungran cho , laks v. s. lakshmanan , divesh srivastava",SIGMOD,2001
51,0,query optimization for selections using bitmaps,ming-chuan wu,SIGMOD,1999,query optimization in compressed database systems,"zhiyuan chen , johannes gehrke , flip korn",SIGMOD,2001
52,0,reminiscences on influential papers,"christos h. papadimitriou , anant jhingran , yannis e. ioannidis , kenneth a. ross",SIGMOD Rec.,2000,reminiscences on influential papers,kenneth a. ross,SIGMOD Rec.,2003
53,1,user-defined table operators : enhancing extensibility for ordbms,"bernhard mitschang , michael jaedicke",VLDB,1999,user-defined table operators : enhancing extensibility for ordbms,"michael jaedicke , bernhard mitschang",VLDB,1999
54,0,distance browsing in spatial databases,"hanan samet , gísli r. hjaltason",ACM TODS,1999,selectivity estimation in spatial databases,"swarup acharya , viswanath poosala , sridhar ramaswamy",SIGMOD,1999
55,0,answering xml queries on heterogeneous data sources,"ioana manolescu , donald kossmann , daniela florescu",VLDB,2001,describing and using query capabilities of heterogeneous sources,"vasilis vassalos , yannis papakonstantinou",VLDB,1997
56,0,index configuration in object-oriented databases,elisa bertino,VLDBJ,1994,a cost model for clustered object-oriented databases,"georges gardarin , jean-robert gruser , zhao-hui tang",VLDB,1995
57,0,reminiscences on influential papers,"z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens",SIGMOD Rec.,1998,influential papers,ken ross,SIGMOD Rec.,2002
58,0,reminiscences on influential papers,"kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn",SIGMOD Rec.,2002,reminiscences on influential papers,richard snodgrass,SIGMOD Rec.,1998
59,1,filtering with approximate predicates,"hector garcia-molina , narayanan shivakumar , chandra chekuri",VLDB,1998,filtering with approximate predicates,"narayanan shivakumar , hector garcia-molina , chandra chekuri",VLDB,1998
60,0,sql query optimization : reordering for a general class of queries,"piyush goel , balakrishna r. iyer",SIGMOD,1996,probabilistic optimization of top n queries,"donko donjerkovic , raghu ramakrishnan",VLDB,1999
61,1,hierarchical compact cube for range-max queries,"hua-gang li , sin yeung lee , tok wang ling",VLDB,2000,hierarchical compact cube for range-max queries,"sin yeung lee , tok wang ling , hua-gang li",VLDB,2000
62,0,index configuration in object-oriented databases,elisa bertino,VLDBJ,1994,opt + + : an object-oriented implementation for extensible database query optimization,"navin kabra , david j. dewitt",VLDBJ,1999
63,0,further improvements on integrity constraint checking for stratifiable deductive databases,"sin yeung lee , tok wang ling",VLDB,1996,implementing deductive databases by mixed integer programming,"colin bell , anil nerode , raymond t. ng , v. s. subrahmanian",ACM TODS,1996
64,0,hierarchical prefix cubes for range-sum queries,"chee yong chan , yannis e. ioannidis",VLDB,1999,dynamic update cube for range-sum queries,"seok-ju chun , chin-wan chung , ju-hong lee , seok-lyong lee",VLDB,2001
65,0,hypergraph based reorderings of outer join queries with complex predicates,"gautam bhargava , balakrishna r. iyer , piyush goel",SIGMOD,1995,factorizing complex predicates in queries to exploit indexes,"surajit chaudhuri , prasanna ganesan , sunita sarawagi",SIGMOD,2003
66,0,the aditi deductive database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",VLDBJ,1994,space optimization in deductive databases,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",ACM TODS,1995
67,0,static detection of security flaws in object-oriented databases,keishi tajima,SIGMOD,1996,unisql/x unified relational and object-oriented database system,won kim,SIGMOD,1994
68,0,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",SIGMOD,1997,using the calanda time series management system,"werner dreyer , angelika kotz dittrich , duri schmidt",SIGMOD,1995
69,0,tree pattern query minimization,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",VLDBJ,2002,efficient algorithms for minimizing tree pattern queries,prakash ramanan,SIGMOD,2002
70,0,implementation of magic-sets in a relational database system,"inderpal singh mumick , hamid pirahesh",SIGMOD,1994,on efficiently implementing schemasql on an sql database system,"laks v. s. lakshmanan , fereidoon sadri , subbu n. subramanian",VLDB,1999
71,0,"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri",SIGMOD,2001,the aqua approximate query answering system,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",SIGMOD,1999
72,0,selectivity estimation for spatio-temporal queries to moving objects,"yong-jin choi , chin-wan chung",SIGMOD,2002,selectivity estimation in spatial databases,"swarup acharya , viswanath poosala , sridhar ramaswamy",SIGMOD,1999
73,0,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",SIGMOD,2001,integrating modelling systems for environmental management information systems,"david j. abel , kerry taylor , dean kun",SIGMOD Rec.,1997
74,0,vist : a dynamic index method for querying xml data by tree structures,"wei fan , sanghyun park , philip s. yu , haixun wang",SIGMOD,2003,efficient index structures for string databases,"tamer kahveci , ambuj k. singh",VLDB,2001
75,0,foundations of preferences in database systems,werner kießling,VLDB,2002,secure buffering in firm real-time database systems,"binto george , jayant r. haritsa",VLDBJ,2000
76,1,towards automated performance tuning for complex workloads,"michael j. carey , manish mehta , miron livny , kurt p. brown",VLDB,1994,towards automated performance tuning for complex workloads,"kurt p. brown , manish mehta , michael j. carey , miron livny",VLDB,1994
77,0,book review column,karl aberer,SIGMOD Rec.,2003,book reviews,karl aberer,SIGMOD Rec.,2002
78,0,groupwise processing of relational queries,"kenneth a. ross , damianos chatziantoniou",VLDB,1997,cache conscious algorithms for relational query processing,"ambuj shatdal , chander kant , jeffrey f. naughton",VLDB,1994
79,0,efficiently instantiating view-objects from remote relational databases,"gio wiederhold , byung suk lee",VLDBJ,1994,converting relational to object-oriented databases,joseph fong,SIGMOD Rec.,1997
80,0,constructing the next 100 database management systems,"andreas geppert , klaus r. dittrich",SIGMOD Rec.,1994,the mariposa distributed database management system,jeff sidell,SIGMOD Rec.,1996
81,0,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),joachim hammer,SIGMOD Rec.,2002,report on the fourth international conference on flexible query answering systems ( fqas 2000 ),"patrick bosc , amihai motro , gabriella pasi",SIGMOD Rec.,2001
82,0,reminiscences on influential papers,"kenneth a. ross , kyuseok shim , mary f. fernandez",SIGMOD Rec.,2002,influential papers,ken ross,SIGMOD Rec.,2002
83,0,index nesting - an efficient approach to indexing in object-oriented databases,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan",VLDBJ,1996,exact : an extensible approach to active object-oriented databases,"oscar d &#237; az , arturo jaime",VLDBJ,1997
84,0,mocha : a self-extensible database middleware system for distributed data sources,"manuel rodriguez-martinez , nick roussopoulos",SIGMOD,2000,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"ling liu , calton pu , david buttler , wei han , henrique paques , wei tang",SIGMOD,2000
85,0,the design and implementation of a sequence database system,"raghu ramakrishnan , miron livny , praveen seshadri",VLDB,1996,the aggregate data problem : a system for their definition and management,"m. rafanelli , a. bezenchek , l. tininini",SIGMOD Rec.,1996
86,0,approximating aggregate queries about web pages via random walks,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",VLDB,2000,"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",SIGMOD,2001
87,0,databases and visualization,daniel a. keim,SIGMOD,1996,delaunay : a database visualization system,"isabel f. cruz , m. averbuch , wendy t. lucas , melissa radzyminski , kirby zhang",SIGMOD,1997
88,0,closest pair queries in spatial databases,"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos",SIGMOD,2000,location-based spatial queries,"jun zhang , manli zhu , dimitris papadias , yufei tao , dik lun lee",SIGMOD,2003
89,0,materialized view selection and maintenance using multi-query optimization,"krithi ramamritham , hoshi mistry , prasan roy , s. sudarshan",SIGMOD,2001,outerjoin simplification and reordering for query optimization,"c &#233; sar galindo-legaria , arnon rosenthal",ACM TODS,1997
90,0,adaptive algorithms for set containment joins,"hector garcia-molina , sergey melnik",ACM TODS,2003,1-safe algorithms for symmetric site configurations,"rune humborstad , maitrayi sabaratnam , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen",VLDB,1997
91,0,book review column,karl aberer,SIGMOD Rec.,2002,book reviews,,SIGMOD Rec.,2003
92,0,binding propagation in disjunctive databases,sergio greco,VLDB,1998,tail recursion elimination in deductive databases,kenneth a. ross,ACM TODS,1996
93,0,krdb ' 98 : the 5th international workshop on knowledge representation meets databases,"alexander borgida , martin staudt , vinay k. chaudhri",SIGMOD Rec.,1998,report on first international workshop on real-time database systems,"azer bestavros , kwei-jay lin , sang son",SIGMOD Rec.,1996
94,0,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"xiaoyang sean wang , changzhou wang",VLDBJ,2001,parallel algorithms for high-dimensional similarity joins for data mining applications,"john c. shafer , rakesh agrawal",VLDB,1997
95,0,towards on-line analytical mining in large databases,jiawei han,SIGMOD Rec.,1998,turbo-charging vertical mining of large databases,"pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah",SIGMOD,2000
96,0,dwms : data warehouse management system,narendra mohan,VLDB,1996,the araneus web-based management system,"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo",SIGMOD,1998
97,0,editorial,richard t. snodgrass,ACM TODS,2001,guest editorial,"amr el abbadi , gunter schlageter , kyu-young whang",VLDBJ,2001
98,0,tracing the lineage of view data in a warehousing environment,"janet l. wiener , yingwei cui , jennifer widom",ACM TODS,2000,lineage tracing for general data warehouse transformations,"y. cui , j. widom",VLDBJ,2003
99,0,influence sets based on reverse nearest neighbor queries,"s. muthukrishnan , flip korn",SIGMOD,2000,nearest neighbor queries,"nick roussopoulos , stephen kelley , fr &#233; d &#233; ric vincent",SIGMOD,1995
100,0,repositories and object oriented databases,philip a. bernstein,SIGMOD Rec.,1998,metu object-oriented dbms,"asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",SIGMOD,1994
101,0,groupwise processing of relational queries,"kenneth a. ross , damianos chatziantoniou",VLDB,1997,congressional samples for approximate answering of group-by queries,"swarup acharya , phillip b. gibbons , viswanath poosala",SIGMOD,2000
102,0,optimizing multi-feature queries for image databases,"ulrich güntzer , werner kießling , wolf-tilo balke",VLDB,2000,optimizing queries over multimedia repositories,"surajit chaudhuri , luis gravano",SIGMOD,1996
103,0,static detection of security flaws in object-oriented databases,keishi tajima,SIGMOD,1996,description logics for semantic query optimization in object-oriented database systems,"domenico beneventano , sonia bergamaschi , claudio sartori",ACM TODS,2003
104,0,the lyric language : querying constraint objects,"alexander brodsky , yoram kornatzky",SIGMOD,1995,themis : a database programming language handling integrity constraints,"v &#233; ronique benzaken , anne doucet",VLDBJ,1995
105,1,actiview : adaptive data presentation using supersql,"motomichi toyama , yoko maeda",VLDB,2001,actiview : adaptive data presentation using supersql,"yoko maeda , motomichi toyama",VLDB,2001
106,0,distance-based indexing for high-dimensional metric spaces,"z. meral özsoyoglu , tolga bozkaya",SIGMOD,1997,the x-tree : an index structure for high-dimensional data,"stefan berchtold , daniel a. keim , hans-peter kriegel",VLDB,1996
107,0,efficiently instantiating view-objects from remote relational databases,"gio wiederhold , byung suk lee",VLDBJ,1994,efficiently publishing relational data as xml documents,"jayavel shanmugasundaram , eugene j. shekita , rimon barr , michael j. carey , bruce g. lindsay , hamid pirahesh , berthold reinwald",VLDB,2000
108,1,dbsim : a simulation tool for predicting database performance,"craig wong , mark stokrp , mike lefler",SIGMOD,1996,dbsim : a simulation tool for predicting database performance,"mark lefler , mark stokrp , craig wong",SIGMOD,1996
109,0,report on the 8th international workshop on knowledge representation meets databases ( krdb ),"dan suciu , maurizio lenzerini , daniele nardi , werner nutt",SIGMOD Rec.,2001,report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems,opher etzion,SIGMOD Rec.,1999
110,0,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",SIGMOD,2001,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",VLDB,1996
111,0,efficient schemes for managing multiversionxml documents,"shu-yao chien , carlo zaniolo , vassilis j. tsotras",VLDBJ,2002,efficient filtering of xml documents for selective dissemination of information,"mehmet altinel , michael j. franklin",VLDB,2000
112,0,data extraction and transformation for the data warehouse,cass squire,SIGMOD,1995,data warehouse configuration,"dimitri theodoratos , timos k. sellis",VLDB,1997
113,0,weaving relations for cache performance,"mark d. hill , anastassia ailamaki , david j. dewitt , marios skounakis",VLDB,2001,dbsim : a simulation tool for predicting database performance,"mark lefler , mark stokrp , craig wong",SIGMOD,1996
114,0,trex : dtd-conforming xml to xml transformations,"xueqing gong , kun yue , aoying zhou , zhimao guo , jianchang xiao , wenfei fan , hongwei wu , qing wang , shihui zheng",SIGMOD,2003,composing xsl transformations with xml publishing views,"chengkai li , philip bohannon , p. p. s. narayan",SIGMOD,2003
115,0,reminiscences on influential papers,"kenneth a. ross , kyuseok shim , mary f. fernandez",SIGMOD Rec.,2002,reminiscences in influential papers,richard snodgrass,SIGMOD Rec.,1998
116,0,"watermarking relational data : framework , algorithms and analysis","peter j. haas , rakesh agrawal , jerry kiernan",VLDBJ,2003,a system for watermarking relational databases,"rakesh agrawal , peter j. haas , jerry kiernan",SIGMOD,2003
117,0,report on the fourth international conference on flexible query answering systems,"gabriella pasi , amihai motro , patrick bosc",SIGMOD Rec.,2001,report on fqas 2002 : fifth international conference on flexible query answering systems,"amihai motro , troels andreasen",SIGMOD Rec.,2003
118,1,why decision support fails and how to fix it,"kevin strehlo , ralph kimball",SIGMOD Rec.,1995,why decision support fails and how to fix it,"ralph kimball , kevin strehlo",SIGMOD Rec.,1995
119,0,data extraction and transformation for the data warehouse,cass squire,SIGMOD,1995,data warehousing and olap for decision support,"surajit chaudhuri , umeshwar dayal",SIGMOD,1997
120,0,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),"mikael berndtsson , jörgen hansson",SIGMOD Rec.,1996,report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems,opher etzion,SIGMOD Rec.,1999
121,0,reminiscences on influential papers,"kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn",SIGMOD Rec.,2002,influential papers,ken ross,SIGMOD Rec.,2002
122,0,discover : keyword search in relational databases,"vagelis hristidis , yannis papakonstantinou",VLDB,2002,data page layouts for relational databases on deep memory hierarchies,"anastassia ailamaki , david j. dewitt , mark d. hill",VLDBJ,2002
123,0,constructing the next 100 database management systems,"andreas geppert , klaus r. dittrich",SIGMOD Rec.,1994,data grid management systems,"arun jagatheesan , arcot rajasekar",SIGMOD,2003
124,1,views in a large-scale xml repository,"vincent aguilera , dan vodislav , pierangelo veltri , sophie cluet , tova milo",VLDBJ,2002,views in a large-scale xml repository,"vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav",VLDBJ,2002
125,1,automata theory for xml researchers,frank neven,SIGMOD Rec.,2002,automata theory for xml researchers,frank neven,SIGMOD Rec.,2002
126,0,infomaster : an information integration system,"arthur m. keller , michael r. genesereth , oliver m. duschka",SIGMOD,1997,environmental information systems,oliver g &#252; nther,SIGMOD Rec.,1997
127,0,implementation of two semantic query optimization techniques in db2 universal database,"k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng",VLDB,1999,investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",VLDB,1994
128,0,reminiscences on influential papers,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",SIGMOD Rec.,2002,reminiscences on influential papers,kenneth a. ross,SIGMOD Rec.,2003
129,0,adapting materialized views after redefinitions,"ashish gupta , inderpal singh mumick , kenneth a. ross",SIGMOD,1995,rainbow : multi-xquery optimization using materialized xml views,"xin zhang , katica dimitrova , ling wang , maged el sayed , brian murphy , bradford pielech , mukesh mulchandani , luping ding , elke a. rundensteiner",SIGMOD,2003
130,0,editor 's notes,jennifer widom,SIGMOD Rec.,1996,editorial,richard snodgrass,ACM TODS,2001
131,0,automated resolution of semantic heterogeneity in multidatabases,"a. r. hurson , simin h. pakzad , m. w. bright",ACM TODS,1994,semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",VLDB,1994
132,0,lambda-db : an odmg-based object-oriented dbms,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",SIGMOD,2000,metu object-oriented dbms,"asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",SIGMOD,1994
133,0,a query language for a web-site management system,"dan suciu , daniela florescu , alon y. levy , mary f. fernandez",SIGMOD Rec.,1997,catching the boat with strudel : experiences with a web-site management system,"mary fern &#225; ndez , daniela florescu , jaewoo kang , alon levy , dan suciu",SIGMOD,1998
134,0,applying update streams in a soft real-time database system,"brad adelberg , hector garcia-molina , ben kao",SIGMOD,1995,index concurrency control in firm real-time database systems,"brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan",VLDB,1995
135,0,acm multimedia '94 conference workshop on multimedia database management systems,"p. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu",SIGMOD Rec.,1995,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"kun-lung wu , philip s. yu , jen-yao chung , james z. teng",VLDB,1995
